"id","issuer","title","edition","audience","jurisdiction","canonical_url","download_url","language","retrieved_at","review_due","link_status","local_filename","offline_tested_at","sha256","notes","coverage_extent","final_url","transport_security_state","provenance_review_state"
"SRC-WHO-GDWQ-2026","WHO","Guidelines for Drinking-water Quality fourth edition with three addenda","2026","SPECIALIST","International","https://www.who.int/publications/i/item/9789240121225","","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Supersedes 2022 edition","GLOBAL_REFERENCE","https://www.who.int/publications/i/item/9789240121225","NOT_REVIEWED","NOT_REVIEWED"
"SRC-WHO-PFA-RU","WHO","Первая психологическая помощь","2011","LAY","International","https://www.who.int/europe/ru/publications/i/item/9789241548205","","ru","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Official Russian version","GLOBAL_REFERENCE","https://www.who.int/europe/ru/publications/i/item/9789241548205","NOT_REVIEWED","NOT_REVIEWED"
"SRC-CDC-WATER-2025","CDC","How to Create and Store an Emergency Water Supply","2025","LAY","US-reference","https://www.cdc.gov/water-emergency/about/how-to-create-and-store-an-emergency-water-supply.html","","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Household stored-water baseline","US_REFERENCE","https://www.cdc.gov/water-emergency/about/how-to-create-and-store-an-emergency-water-supply.html","NOT_REVIEWED","NOT_REVIEWED"
"SRC-CISA-321","CISA","Data Backup Options","accessed-2026","LAY","US-reference","https://www.cisa.gov/sites/default/files/publications/data_backup_options.pdf","https://www.cisa.gov/sites/default/files/publications/data_backup_options.pdf","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Three-two-one backup rule","US_REFERENCE","https://www.cisa.gov/sites/default/files/publications/data_backup_options.pdf","NOT_REVIEWED","NOT_REVIEWED"
"SRC-READY-EFFAK","FEMA-Ready.gov","Emergency Financial First Aid Kit","2020","LAY","US-reference","https://www.ready.gov/sites/default/files/2020-03/ready_emergency-financial-first-aid-toolkit.pdf","https://www.ready.gov/sites/default/files/2020-03/ready_emergency-financial-first-aid-toolkit.pdf","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Adapt document types to Portugal and Ukraine","US_REFERENCE","https://www.ready.gov/sites/default/files/2020-03/ready_emergency-financial-first-aid-toolkit.pdf","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IAEA-EPR-2024","IAEA","EPR-Medical","2024","SPECIALIST","International","https://www-pub.iaea.org/MTCD/Publications/PDF/EPR-Medical%20%282024%29_web.pdf","https://www-pub.iaea.org/MTCD/Publications/PDF/EPR-Medical%20%282024%29_web.pdf","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Professional radiation-emergency medical response","GLOBAL_REFERENCE","https://www-pub.iaea.org/MTCD/Publications/PDF/EPR-Medical%20%282024%29_web.pdf","NOT_REVIEWED","NOT_REVIEWED"
"SRC-CDC-RAD-LAY","CDC","What to Do in Radiation Emergencies","2024","LAY","US-reference","https://www.cdc.gov/radiation-emergencies/response/index.html","","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Separate external fallout sheltering from a local source inside and from unsafe buildings","US_REFERENCE","https://www.cdc.gov/radiation-emergencies/response/index.html","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IAEA-FOUND-SOURCE","IAEA","Prevention and Response for a Found Radioactive Source","accessed-2026","LAY","International","https://gnssn.iaea.org/CSN/Scrap/SitePages/Prevention%20and%20Response.aspx","","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Do not touch; leave immediate area; prevent access; notify emergency services","GLOBAL_REFERENCE","https://gnssn.iaea.org/CSN/Scrap/SitePages/Prevention%20and%20Response.aspx","NOT_REVIEWED","NOT_REVIEWED"
"SRC-CDC-CHEM-CLEAN-2026","CDC","About Getting Clean","2026","LAY","US-reference","https://www.cdc.gov/chemical-emergencies/response/get-clean.html","","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Do not wait for exact unknown chemical before gross decontamination; replace US contacts with 112 and CIAV","US_REFERENCE","https://www.cdc.gov/chemical-emergencies/response/get-clean.html","NOT_REVIEWED","NOT_REVIEWED"
"SRC-CHEMM-2026","HHS","CHEMM offline package","2.6-2026","SPECIALIST","US-reference","https://chemm.hhs.gov/download.htm","https://chemm.hhs.gov/download.htm","en","2026-08-29","2026-11-29","LINK_VERIFIED","","","","Download package requires platform-specific choice and offline test","US_REFERENCE","https://chemm.hhs.gov/download.htm","NOT_REVIEWED","NOT_REVIEWED"
"SRC-ANEPC-INFORISCOS","ANEPC","InfoRiscos GIS portal","accessed-2026","LAY","Portugal","https://prociv.gov.pt/pt/prevencao-e-preparacao/avaliacao-de-riscos/inforiscos/","","pt","2026-08-29","2027-08-29","LINK_VERIFIED","","","","National natural technological and mixed risk overview; not an address-specific operational route","PORTUGAL_SCOPE_REQUIRES_LAYER_REVIEW","https://prociv.gov.pt/pt/prevencao-e-preparacao/avaliacao-de-riscos/inforiscos/","NOT_REVIEWED","NOT_REVIEWED"
"SRC-ANEPC-SIPE","ANEPC","SIPE Planeamento de Emergência","accessed-2026","LAY","Portugal","https://prociv.gov.pt/pt/prevencao-e-preparacao/programas-e-projetos/sipe-planeamento-de-emergencia/","https://planos.prociv.pt/","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Use current approved public component for the selected municipality; direct service content not yet archived; direct SIPE service redirects to HTTP, so plan title edition and approval must be cross-checked via HTTPS authority sources","PORTUGAL_SCOPE_REQUIRES_PLAN_REVIEW","http://planos.prociv.pt/Pages/homepage.aspx","HTTPS_TO_HTTP_REDIRECT","REQUIRES_HTTPS_AUTHORITY_CROSSCHECK"
"SRC-SNIG-RNDG","DGT-SNIG","Registo Nacional de Dados Geográficos","accessed-2026","SPECIALIST","Portugal","https://snig.dgterritorio.gov.pt/saber-mais/registo-nacional-de-dados-geograficos","https://snig.dgterritorio.gov.pt/","pt","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Catalog of official and homologated geodata; each dataset needs its own metadata license edition and CRS review","DATASET_SPECIFIC","https://snig.dgterritorio.gov.pt/saber-mais/registo-nacional-de-dados-geograficos","NOT_REVIEWED","NOT_REVIEWED"
"SRC-DGT-CAOP-2025","DGT","Carta Administrativa Oficial de Portugal","CAOP2025","SPECIALIST","Portugal","https://www.dgterritorio.gov.pt/atividades/cartografia/cartografia-tematica/caop","","pt","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Administrative boundaries; do not infer hazards or live access","PORTUGAL_ALL_TERRITORIES","https://www.dgterritorio.gov.pt/atividades/cartografia/cartografia-tematica/caop","NOT_REVIEWED","NOT_REVIEWED"
"SRC-APA-PGRI-2022-27","Agência Portuguesa do Ambiente","Planos de Gestão dos Riscos de Inundações","2022-2027","SPECIALIST","Portugal","https://apambiente.pt/agua/2o-ciclo-de-planeamento-2022-2027","https://sniambgeoogc.apambiente.pt/getogc/rest/services/SNIAmb/Diretiva200760CE_2c/MapServer","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Flood hazard and risk mapping for official scenarios; not live water and not proof of no risk outside mapped ARPSI; coverage is Portugal Continental for this planning cycle","PORTUGAL_CONTINENTAL","https://apambiente.pt/agua/2o-ciclo-de-planeamento-2022-2027","NOT_REVIEWED","NOT_REVIEWED"
"SRC-ICNF-RISK-GEO","ICNF","GeoCATÁLOGO Tema 5 Riscos e ameaças","accessed-2026","SPECIALIST","Portugal","https://geocatalogo.icnf.pt/catalogo_tema5.html","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Structural fire danger burned areas and related datasets; separate from current active fire and daily danger; key structural wildfire layers are Portugal Continental unless dataset metadata states otherwise","PORTUGAL_CONTINENTAL","https://geocatalogo.icnf.pt/catalogo_tema5.html","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IPMA-SHAKEMAP","IPMA","Portugal ShakeMap","accessed-2026","SPECIALIST","Portugal","https://shakemap.ipma.pt/","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Post-event shaking estimate; not proof that a route bridge or building is safe","EVENT_AND_NETWORK_SPECIFIC","https://shakemap.ipma.pt/","NOT_REVIEWED","NOT_REVIEWED"
"SRC-LNEG-GEOPORTAL","LNEG","GeoPortal e dados geológicos","accessed-2026","SPECIALIST","Portugal","https://geoportal.lneg.pt/","","pt","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Geology and hydrogeology planning data; not a site-specific engineering assessment","DATASET_SPECIFIC","https://geoportal.lneg.pt/","NOT_REVIEWED","NOT_REVIEWED"
"SRC-APA-SEVESO-2026","Agência Portuguesa do Ambiente","Estabelecimentos abrangidos pelo regime de acidentes graves","January-2026","SPECIALIST","Portugal","https://apambiente.pt/prevencao-e-gestao-de-riscos/estabelecimentos-abrangidos","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Facility list is not an impact-radius map; use official external emergency plan where applicable; published establishment list is for Continente","PORTUGAL_CONTINENTAL","https://apambiente.pt/prevencao-e-gestao-de-riscos/estabelecimentos-abrangidos","NOT_REVIEWED","NOT_REVIEWED"
"SRC-APA-RADNET","Agência Portuguesa do Ambiente","RADNET rede de alerta de radioatividade no ambiente","accessed-2026","SPECIALIST","Portugal","https://apambiente.pt/prevencao-e-gestao-de-riscos/rede-de-alerta-de-radioatividade-no-ambiente-radnet","https://radnet.apambiente.pt/","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Monitoring points are not a plume model; follow competent-authority instructions","NETWORK_COVERAGE_REQUIRES_STATION_REVIEW","https://apambiente.pt/prevencao-e-gestao-de-riscos/rede-de-alerta-de-radioatividade-no-ambiente-radnet","NOT_REVIEWED","NOT_REVIEWED"
"SRC-IP-ROAD-2026","Infraestruturas de Portugal","Rede Rodoviária Nacional","2026","SPECIALIST","Portugal","https://www.infraestruturasdeportugal.pt/pt-pt/rede-rodoviaria-ip","https://dados.gov.pt/pt/datasets/rede-rodoviaria-nacional/","pt","2026-08-29","2027-04-15","LINK_VERIFIED","","","","Network geometry is not proof of current opening or structural integrity; road network scope is Portugal Continental","PORTUGAL_CONTINENTAL","https://www.infraestruturasdeportugal.pt/pt-pt/rede-rodoviaria-ip","NOT_REVIEWED","NOT_REVIEWED"
"SRC-MADEIRA-PROCIV","Serviço Regional de Proteção Civil da Madeira","Portal oficial de Proteção Civil da Madeira","accessed-2026","LAY","Portugal","https://www.procivmadeira.pt/pt/","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Regional warnings plans contacts and civil-protection guidance; select the current island and municipality-specific content","MADEIRA","https://www.procivmadeira.pt/pt/","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-AZORES-PROCIV","Serviço Regional de Proteção Civil e Bombeiros dos Açores","Portal oficial de Proteção Civil dos Açores","accessed-2026","LAY","Portugal","https://www.prociv.azores.gov.pt/","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Regional warnings plans contacts and civil-protection guidance; select island-specific current content","AZORES","https://www.prociv.azores.gov.pt/","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-CDC-POWER-CO","CDC","What to Do to Protect Yourself During a Power Outage","accessed-2026","LAY","US-reference","https://www.cdc.gov/natural-disasters/response/what-to-do-protect-yourself-during-a-power-outage.html","","en","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Supports power-outage to CO relation and safe generator/combustion boundaries; replace US emergency contacts with Portugal 112","US_REFERENCE","https://www.cdc.gov/natural-disasters/response/what-to-do-protect-yourself-during-a-power-outage.html","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-CDC-FLOOD-HOME","CDC","Safety Guidelines: Reentering Your Flooded Home","accessed-2026","LAY","US-reference","https://www.cdc.gov/floods/safety/reentering-your-flooded-home-safety.html","","en","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Supports flood to water-contamination and damp-building to mold relations/actions; local authority and utility directions remain controlling","US_REFERENCE","https://www.cdc.gov/floods/safety/reentering-your-flooded-home-safety.html","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-CISA-RANSOMWARE","CISA","StopRansomware Guide","accessed-2026","SPECIALIST","US-reference","https://www.cisa.gov/resources-tools/resources/stopransomware-guide","","en","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Technical isolation and clean recovery reference; not a Portugal banking or liability source","US_REFERENCE","https://www.cisa.gov/resources-tools/resources/stopransomware-guide","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-ENISA-MOBILE-BANKING","ENISA","Mobile Banking Malware - Malware Can Cost You Money","2025","LAY","EU","https://www.enisa.europa.eu/sites/default/files/2025-09/Infographic%20-%20mobile%20banking%20-%20ENISA.pdf","https://www.enisa.europa.eu/sites/default/files/2025-09/Infographic%20-%20mobile%20banking%20-%20ENISA.pdf","en","2026-08-29","2027-08-29","LINK_VERIFIED","","","","Relation source for mobile banking malware, credential interception and unauthorized financial loss","EU","https://www.enisa.europa.eu/sites/default/files/2025-09/Infographic%20-%20mobile%20banking%20-%20ENISA.pdf","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-BPORTUGAL-FRAUD","Banco de Portugal","Esteja atento à fraude online e aja rapidamente","accessed-2026","LAY","Portugal","https://clientebancario.bportugal.pt/pt-pt/noticias/esteja-atento-fraude-online-e-aja-rapidamente","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Portugal action source: contact bank through official channel, cancel compromised credentials/card/app as applicable, and report fraud; no unconditional reimbursement promise","PORTUGAL","https://clientebancario.bportugal.pt/pt-pt/noticias/esteja-atento-fraude-online-e-aja-rapidamente","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
"SRC-CNCS-REPORT","Centro Nacional de Cibersegurança","Sofri um incidente - como reportar de forma voluntária","accessed-2026","LAY","Portugal","https://www.cncs.gov.pt/pt/como-reportar-um-incidente/","","pt","2026-08-29","2027-02-28","LINK_VERIFIED","","","","Portugal cyber incident reporting route; CERT.PT report does not replace police reporting where a crime occurred","PORTUGAL","https://www.cncs.gov.pt/pt/como-reportar-um-incidente/","HTTPS","PRIMARY_OFFICIAL_LINK_VERIFIED"
