"instrument_id","category","instrument_ru","measures","unit","range_hint","resolution_hint","calibration_method","reference_required","interval","storage","maintenance","failure_signs","safety_class","prohibited_use","spare_strategy","manual_package_id","status","release_version"
"INS-011","TIME","механические часы/секундомер","время","s","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сравнение с двумя независимыми эталонами времени","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать один дрейфующий источник как эталон","кварцевые часы + ради/GNSS при наличии","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-012","TIME","RTC/частотный счётчик","частота/время","Hz|s","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сравнение с прослеживаемым частотным источником","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не подключать к опасному напряжению","запасной модуль и опубликованный offset","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-013","THERMAL","контактный цифровой термометр","температура","°C","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","ледяная точка/сертифицированный термостат и 2-точечная проверка","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать бытовую калибровку для клинических решений","два датчика разных типов","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-014","THERMAL","макс-мин термометр","температура","°C","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сравнение с опорным датчиком в общей среде","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","защищать от прямого солнца и влаги","аналоговый резерв","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-015","THERMAL","термопара и считыватель","температура","°C","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","reference junction и сравнение по двум точкам","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не касаться электрически опасных/движущихся частей","запасные зонды","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-016","THERMAL","ИК-термометр","температура поверхности","°C","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","blackbody/сравнительная поверхность и emissivity note","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не измеряет внутреннюю температуру и воздух; лазер не направлять в глаза","контактный термометр","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-017","ENVIRONMENT","гигрометр","относительная влажность","%RH","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сертифицированная salt-point/эталонная камера","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не считать дешёвый датчик эталоном без проверки","два датчика и психрометр","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-018","ENVIRONMENT","барометр","давление","hPa","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сравнение с официальной станцией с поправкой высоты","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не использовать для прогноза без контекста","механический и цифровой","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-019","ENVIRONMENT","анемометр","скорость воздуха","m/s","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сервис/сравнение в контролируемом потоке","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не измерять с крыши/у ЛЭП/в шторм","визуальные шкалы Beaufort как fallback","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-020","ENVIRONMENT","дождемер","осадки","mm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","объёмная проверка площади приёмника","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","устанавливать без высотной работы","ручной резерв","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-021","ENVIRONMENT","люксметр","освещённость","lx","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сравнение с калиброванным прибором/лабораторией","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не измерять Солнце без допустимого диапазона","два сенсора/эталонная лампа по сроку","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-022","ENVIRONMENT","шумомер класса по задаче","уровень звука","dB(A/C)","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","акустический калибратор до/после серии","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","телефон — ориентир, не юридическое измерение","калибратор и второй прибор","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-023","ENVIRONMENT","датчик CO2 NDIR","CO2","ppm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","fresh-air check/сертифицированный газ у специалиста","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","CO2 не заменяет датчик CO и не доказывает отсутствие инфекции","два NDIR разных партий","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-024","ENVIRONMENT","сертифицированный бытовой CO alarm","CO alarm","ppm/alarm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","только штатная test-кнопка/замена по сроку; газовые опыты запрещены","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","никогда не тестировать выхлопом/огнём","несколько alarms по размещению","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-025","ENVIRONMENT","PM2.5 монитор","массовая концентрация-оценка","µg/m³","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","co-location с референсом/контроль нуля по инструкции","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","низкобюджетный сенсор не равен регуляторной станции","второй тип + официальный мониторинг","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-026","WATER","мерный цилиндр/кувшин","объём","mL|L","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","гравиметрическая проверка водой при известной температуре","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не смешивать пищевую и химическую посуду","набор размеров","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-027","WATER","расходомер низкого давления","расход","L/min","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","timed-volume comparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","не подключать к газу/опасному давлению","ведро+секундомер","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-028","WATER","манометр воды","давление","bar|kPa","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","deadweight/service calibration or comparison","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","разгерметизировать; не применять к газовым/высоким давлениям","механический резерв","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-029","WATER","pH-метр","pH","pH","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","2–3 свежих буфера, slope/offset log","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","pH не доказывает питьевую безопасность","полоски как грубый fallback","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-030","WATER","TDS/EC-метр","электропроводность","µS/cm","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сертифицированный стандарт и температурная компенсация","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S1_LOW_RISK_HOUSEHOLD","TDS не выявляет конкретные токсины/патогены","второй прибор/стандарт","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-031","WATER","турбидиметр","мутность","NTU","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","сертифицированные standards и blank","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","мутность не равна микробиологической безопасности","визуальная tube как fallback","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
"INS-032","WATER","хлорный колориметр DPD","свободный/общий хлор","mg/L","TBD_PER_EXACT_TASK_AND_METHOD; не закупать/не применять по этой общей строке и не работать у края диапазона.","TBD_PER_EXACT_TASK_AND_METHOD; правило 10:1 — только planning hint, не универсальная спецификация точности.","blank, standards/verification kit и срок реагента","TBD_PER_EXACT_INSTRUMENT: документированный эталон, контрольная точка или официальный сервис выбираются по методу/классу.","BEFORE_CRITICAL_USE|AFTER_DAMAGE|ANNUAL_OR_MANUFACTURER","чисто, сухо, защищено от удара/магнитов/температуры по manual","визуальный осмотр, батарея/расходник, очистка, журнал offset и следующей проверки","нестабильный ноль, дрейф, повреждение, невозможный результат, расхождение с контрольной точкой","S2_TRAINED_SUPERVISED","не импровизировать дозирование; реагенты по SDS","запас реагентов и второй метод","PSP-116","CANDIDATE_NOT_INVENTORIED","0.4"
