"node_id","parent_id","domain","node_type","title_ru","outcome","safety_class","execution_policy","prerequisite_node_ids","source_package_ids","materials_tools_state","instrument_ids","measurement_acceptance","calibration_reference","drawings_bom_state","localization_state","waste_storage","stop_conditions","maintenance_spares","successor_proof","evidence_required","evidence_state","capability_status","release_gate","notes","release_version"
"TD-BASE-MAINTENANCE","TD-BASE","BASE","MAINTENANCE","Обслуживание; ремонт и запасные части","Сохранять функцию после износа и отказа","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-INVENTORY|TD-BASE-DRAWINGS|TD-BASE-MATERIALS|TD-BASE-METROLOGY","","NO_ASSET_LIFECYCLE_RECORDS","INS-001|INS-003|INS-045","Плановое обслуживание выполнено; spares доступны; отказ безопасно диагностируется","Тест до и после обслуживания по OEM или проверенному пакету","MISSING_PER_ASSET","EXACT_ASSET_REQUIRED","Отходы и заменённые части по категории","Stored energy; сеть; давление; газ; lithium; неизвестный дефект","По OEM и фактическому duty cycle","Преемник выполняет разрешённое обслуживание и фиксирует результат","Maintenance log; parts; before-after test","MISSING","MISSING","DENY","Ремонт не должен обходить защиты","0.5-draft"
"TD-WATER","TD-ROOT","WATER_WASH","OUTCOME","Безопасная вода и санитария","Дать измеренный объём воды и не загрязнить людей; пищу и источник","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-BASE|TD-WATER-SOURCE|TD-WATER-YIELD|TD-WATER-RISK|TD-WATER-TREATMENT|TD-WATER-STORAGE|TD-WATER-MONITORING|TD-SANITATION|TD-WATER-P0-RESERVE|TD-WATER-DEMAND|TD-WATER-RATION|TD-WATER-VULNERABLE|TD-WATER-COLLECTION|TD-WATER-CARRY|TD-WATER-CROSS-CONTAM|TD-WATER-LABEL|TD-WATER-EMERGENCY-PRODUCT|TD-WATER-CONTAINER-CLEAN|TD-WATER-PORTFOLIO|TD-WATER-RAIN|TD-WATER-DELIVERED|TD-WATER-WELL|TD-WATER-SURFACE|TD-WATER-GRAVITY|TD-WATER-HAND-PUMP|TD-WATER-LOWE-PUMP|TD-WATER-DISTRIBUTION|TD-WATER-BACKFLOW|TD-WATER-LEAK|TD-WATER-SPARES|TD-WATER-LAB|TD-WATER-REDUNDANCY","","MISSING_SITE_SYSTEM","INS-026|INS-027|INS-029|INS-030|INS-031|INS-032","Объём; качество; throughput и stop соответствуют точному water safety plan","Laboratory plan плюс instrument checks","MISSING","PORTUGAL_SOURCE_AND_SITE_REQUIRED","Отдельный безопасный маршрут стоков и отработанных материалов","Неизвестное химическое или радиологическое загрязнение; failed barrier; flood intrusion","Scheduled sampling; cleaning; seals; manual fallback","Другой участник запускает safe mode и объясняет когда воду нельзя объявлять безопасной","Water safety plan; lab data; logs; drawings; drill","MISSING","MISSING","DENY","Бытовой датчик не доказывает микробиологическую безопасность","0.5-draft"
"TD-WATER-SOURCE","TD-WATER","WATER_WASH","SITE_DATA","Карта законных источников воды","Определить основной и независимый резервный источники","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-SITE|TD-BASE-SAFETY","SUP-LEA-033","MISSING_SOURCE_MAP","INS-040|INS-061|INS-062","Источник; доступ; ownership; сезонность и загрязнители записаны; минимум два failure domain","Координаты cross-check; фото; официальный или лабораторный источник данных","MISSING_MAP","PORTUGAL_MUNICIPALITY_REQUIRED","Не применимо","Не входить в колодец; резервуар; затопленную или загрязнённую зону","Сезонный review и после события","Преемник находит источники и safe no-go точки","Map; permissions; photos; season log","MISSING","MISSING","DENY","Адрес и муниципалитет ещё не заданы","0.5-draft"
"TD-WATER-YIELD","TD-WATER","WATER_WASH","TEST","Сезонная производительность источника","Доказать сколько воды реально доступно без истощения источника","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-WATER-SOURCE|TD-BASE-METROLOGY","","MISSING_TEST_SETUP","INS-011|INS-026|INS-027","Повторные измерения в сухой и влажный сезон; demand не превышает консервативный yield","Объёмная timed-volume проверка и независимое повторение","MISSING_METHOD","SITE_AND_SEASON_REQUIRED","Вода теста не загрязняет источник","Падение уровня; мутность; подсос; опасный доступ; unknown well condition","Повтор по сезону и после ремонта","Преемник повторяет расчёт и называет uncertainty","Raw log; dates; weather; yield model; reviewer","MISSING","MISSING","DENY","Шаблон существует; измерений нет","0.5-draft"
"TD-WATER-RISK","TD-WATER","WATER_WASH","KNOWLEDGE","Профиль опасностей сырой воды","Выбрать барьеры по реальным микробиологическим; химическим и радиологическим рискам","S3_LICENSED_PROFESSIONAL","LICENSED_ONLY","TD-WATER-SOURCE|TD-BASE-SAFETY","PSP-101|PSP-102|SUP-LEA-026|SUP-LEA-028|SUP-LEA-029","LAB_PLAN_MISSING","INS-029|INS-030|INS-031|INS-032","Аккредитованный план анализа покрывает site-specific hazards; результаты интерпретированы специалистом","Аккредитованная лаборатория и документированные контрольные образцы","NOT_APPLICABLE","PORTUGAL_LAB_AND_RULES_REQUIRED","Образцы и реагенты утилизируются по методу","Нет лаборатории; unknown contamination; результаты вне limits","По water safety plan и после событий","Преемник умеет отобрать разрешённую пробу и передать данные; не объявляет воду безопасной","Lab reports; chain of custody; hazard assessment","MISSING","MISSING","DENY","Полная изоляция оставляет остаточный риск без лаборатории","0.5-draft"
"TD-WATER-TREATMENT","TD-WATER","WATER_WASH","PROCESS","Многоступенчатая обработка воды","Создать treatment train только под подтверждённый профиль риска","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-WATER-RISK|TD-WATER-YIELD|TD-BASE-DRAWINGS|TD-BASE-MATERIALS","SUP-LEA-027|SUP-LEA-030|SUP-LEA-031|SUP-LEA-032","MISSING_EXACT_SYSTEM","INS-011|INS-026|INS-027|INS-029|INS-031|INS-032","Каждый барьер имеет throughput; contact time; capacity; rejection and stop criteria","Exact method; control samples; manufacturer reference","MISSING","SITE_WATER_PROFILE_REQUIRED","Spent media and reagents follow approved route","Неизвестная химия; wrong concentration; bypass; broken seal; no clean storage","Scheduled cleaning; media replacement; spare seals; manual fallback","Преемник выполняет только утверждённую операцию и останавливается при failed check","Drawing; BOM; method; raw logs; water results","MISSING","MISSING","DENY","Нет универсального самодельного фильтра для всех загрязнений","0.5-draft"
"TD-WATER-STORAGE","TD-WATER","WATER_WASH","PROCESS","Чистое хранение воды","Сохранить обработанную воду без повторного загрязнения","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-WATER-TREATMENT|TD-BASE-MATERIALS","","MISSING_CONTAINERS","INS-009|INS-026","Объём; герметичность; turnover; clean/dirty separation and labels pass","Known volume; leak test; cleaning record","MISSING_LAYOUT","HOUSEHOLD_REQUIRED","Повреждённая тара выбраковывается; wash-water routed safely","Запах; повреждение; неизвестный пластик; cross-connection; flood contact","Rotation; inspection; spare caps and seals","Преемник выполняет ротацию и находит загрязняющий cross-path","Inventory; cleaning; fill dates; leak test","MISSING","MISSING","DENY","Тара и объём физически не подтверждены","0.5-draft"
"TD-WATER-MONITORING","TD-WATER","WATER_WASH","TEST","Операционный контроль воды","Рано обнаружить отказ барьера без ложной уверенности","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-WATER-TREATMENT|TD-WATER-STORAGE|TD-BASE-METROLOGY","","INSTRUMENTS_MISSING","INS-029|INS-030|INS-031|INS-032","Контрольные параметры и lab schedule выполнены; failed check переводит систему в stop","Buffers; standards; blanks; DPD verification kit; lab cross-check","NOT_APPLICABLE","EXACT_METHOD_REQUIRED","Expired reagents isolated and disposed correctly","Expired reagent; failed blank; out-of-range; missing lab confirmation","Before critical batch and at defined interval","Преемник выполняет контроль и правильно запрещает использование","Calibration; raw readings; lot; corrective action","MISSING","MISSING","DENY","pH или TDS не равны полной безопасности","0.5-draft"
"TD-SANITATION","TD-WATER","WATER_WASH","OUTCOME","Санитария и отходы","Разделить drinking-water; руки; пищу; экскременты; серые воды и мусор","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-BASE-SITE|TD-WATER-SOURCE|TD-BASE-DRAWINGS|TD-BASE-MATERIALS|TD-SAN-TOILET|TD-SAN-HANDWASH|TD-SAN-ZONING|TD-SAN-SOAP|TD-SAN-MENSTRUAL|TD-SAN-DIAPERS|TD-SAN-INCONTINENCE|TD-SAN-BATHING|TD-SAN-LAUNDRY|TD-SAN-BLACKWATER|TD-SAN-GREYWATER|TD-SAN-HOUSEHOLD-WASTE|TD-SAN-FOOD-WASTE|TD-SAN-HAZARDOUS-WASTE|TD-SAN-BATTERIES|TD-SAN-OILS|TD-SAN-SHARPS|TD-SAN-MEDICAL|TD-SAN-ANIMAL|TD-SAN-CONSTRUCTION|TD-SAN-DEAD-ANIMAL|TD-SAN-HUMAN-DEATH|TD-SAN-PESTS","SUP-LEA-030","MISSING_SITE_SANITATION","INS-001|INS-002|INS-040","Потоки и зоны не пересекаются; вместимость и обслуживание измерены; legal route documented","Site measurements; inspection; water-risk review","MISSING","PORTUGAL_SITE_AND_WASTE_RULES_REQUIRED","Approved excreta; greywater; solid-waste routes","Flooding; seepage; vector outbreak; contamination of food or source","Daily inspection in emergency; spares and consumables","Преемник устанавливает clean/dirty zoning и stop","Site plan; capacity; inspection logs; drill","MISSING","MISSING","DENY","Аварийный туалет в тексте не равен длительной системе","0.5-draft"
"TD-FOOD","TD-ROOT","FOOD_AGRI","OUTCOME","Пища; семена и агроэкосистема","Поддерживать безопасный рацион и воспроизводить посадочный материал","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-BASE|TD-WATER|TD-FOOD-SITE|TD-SEED-BANK|TD-CROP-TRIAL|TD-SEED-REGEN|TD-HARVEST-STORAGE|TD-FOOD-PRESERVATION|TD-NUTRITION|TD-FOOD-P0-RESERVE|TD-FOOD-P1-PANTRY|TD-FOOD-NO-COOK|TD-FOOD-MENU|TD-FOOD-ALLERGENS|TD-FOOD-SPECIAL-DIET|TD-FOOD-INFANT|TD-FOOD-COOK-WATER|TD-FOOD-HAND-TOOLS|TD-FOOD-COOK-SAFETY|TD-FOOD-COOK-FUEL|TD-FOOD-PEST|TD-FOOD-WASTE|TD-FOOD-ROTATION|TD-FOOD-RATION|TD-AGRI-LAND-RIGHTS|TD-AGRI-TOPO|TD-AGRI-SOIL-MAP|TD-AGRI-SOIL-TEST|TD-AGRI-SOIL-OM|TD-AGRI-SOIL-PH|TD-AGRI-SOIL-SALINITY|TD-AGRI-IRRIGATION-BUDGET|TD-AGRI-MICROCLIMATE|TD-AGRI-PT-CALENDAR|TD-AGRI-NURSERY|TD-AGRI-GREENHOUSE|TD-AGRI-IRRIGATION|TD-AGRI-IRRIGATION-UNIFORM|TD-AGRI-DRAINAGE|TD-AGRI-STAPLES|TD-AGRI-LEGUMES|TD-AGRI-OILSEEDS|TD-AGRI-VEGETABLES|TD-AGRI-PERENNIALS|TD-AGRI-CLONAL|TD-AGRI-POTATO|TD-AGRI-GARLIC|TD-AGRI-SWEET-POTATO|TD-AGRI-VARIETY-STATUS|TD-AGRI-TWO-LOTS|TD-AGRI-OFFSITE|TD-AGRI-SEED-STORAGE|TD-AGRI-RESEED|TD-AGRI-ISOLATION|TD-AGRI-POPULATION|TD-AGRI-POLLINATION|TD-AGRI-PURITY|TD-AGRI-QUARANTINE|TD-AGRI-IPM|TD-AGRI-THRESH|TD-AGRI-CLEAN|TD-AGRI-DRY|TD-AGRI-LOSS|TD-AGRI-CROP-FAIL|TD-FERTILIZERS|TD-ANIMALS","","MISSING_LAND_WATER_AND_STOCK","INS-009|INS-011|INS-013|INS-033|INS-035|INS-036","Несколько сезонов дают измеренный безопасный урожай; рацион и резерв неурожая проверены","Seed controls; scales; temperature references; soil and water analysis","MISSING","PORTUGAL_SITE_AND_CLIMATE_REQUIRED","Plant waste; food waste; manure and packaging routes defined","Unknown plant; contamination; mold; pesticide misuse; unsafe preservation","Seasonal; lot rotation; seed regeneration; tool maintenance","Другой участник проводит полный цикл одной культуры","Season logs; yields; germination; storage and nutrition evidence","MISSING","MISSING","DENY","Семенная корзина не равна продовольственной автономии","0.5-draft"
"TD-FOOD-SITE","TD-FOOD","FOOD_AGRI","SITE_DATA","Почва; климат; вода и площадь","Определить реальную производственную способность участка","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-BASE-SITE|TD-WATER-YIELD","PSP-041|PSP-045|SUP-LEA-011|SUP-LEA-012|SUP-LEA-014|SUP-LEA-016","MISSING_FIELD_DATA","INS-001|INS-002|INS-009|INS-011|INS-013|INS-020|INS-033|INS-034|INS-035","Площадь; slope; soil profile; water budget; frost/heat and shade measured","Known area geometry; weather reference; lab soil test","MISSING_MAP_AND_BEDS","PORTUGAL_PARCEL_REQUIRED","Sampling holes closed; contaminated soil isolated","Unknown contamination; protected habitat; unsafe slope; insufficient water","Annual and seasonal logs","Преемник повторяет area and water calculation","Parcel map; lab report; climate log; water budget","MISSING","MISSING","DENY","Расчёт 1 ha не доказывает наличие пригодного гектара","0.5-draft"
"TD-SEED-BANK","TD-FOOD","FOOD_AGRI","MATERIAL","Семенной банк с accession-level учётом","Иметь несколько сортов; резерв пересева и offsite duplicate","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-BASE-MATERIALS|TD-FOOD-SITE","SUP-LEA-021|SUP-LEA-022|SUP-LEA-024|SUP-LEA-025","PLANNED_NOT_PURCHASED","INS-009|INS-011|INS-013|INS-017|INS-036","Каждый lot имеет сорт; OP/F1; год; источник; массу; storage; germination and legal notes","Blind seed count; scale check; germination controls","MISSING_ACCESSION_LABELS","PORTUGAL_SEED_RULES_REQUIRED","Moldy or infested lots isolated and disposed safely","Unknown treatment; damaged package; invasive or regulated seed; mold","Temperature/humidity log; periodic germination; duplicate rotation","Преемник выбирает lot; тестирует и обновляет запись","Invoices; labels; photos; mass; germination and location","MISSING","MISSING","DENY","HTML ordering model exists; no order or receipt evidence","0.5-draft"
"TD-GERMINATION","TD-FOOD","FOOD_AGRI","TEST","Тест всхожести","Оценить текущую жизнеспособность конкретной партии семян","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-SEED-BANK|TD-BASE-METROLOGY","","PRODUCTION_PACKAGE_CANDIDATE","INS-009|INS-011|INS-013|INS-036","Заранее заданный sample; replicates; counted normal seedlings; percentage and uncertainty recorded","Known count; blind recount; control lot where available","CANDIDATE_PACKAGE_NOT_TESTED","CROP_SPECIFIC_METHOD_REQUIRED","Used known seed and clean substrate bagged; mold stops test","Unknown biology; unusual odor; extensive mold; treated-seed exposure","Per accession schedule","Преемник повторяет с тем же lot and method","Raw counts; photos; temperature; calculation; deviations","LOCAL_UNREVIEWED","ARCHITECTURE_ONLY","DENY","PP-002 создаётся как безопасный шаблон; нужен физический тест","0.5-draft"
"TD-CROP-PLAN","TD-FOOD","FOOD_AGRI","PROCESS","Сезонный план культур","Связать пищевую цель с площадью; водой; трудом и риском","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-FOOD-SITE|TD-SEED-BANK|TD-NUTRITION","PSP-041|SUP-LEA-017|SUP-LEA-018|SUP-LEA-020","MISSING_SITE_PLAN","INS-001|INS-002|INS-009|INS-011","План имеет area; calendar; water; expected range; reserve and failure mode","Historical local data plus measured site data","MISSING_BED_LAYOUT","PORTUGAL_LOCAL_CALENDAR_REQUIRED","Crop residues and diseased material routes defined","Water deficit; regulated crop; unknown disease; pesticide dependence","Review each season","Преемник объясняет tradeoffs and replans failed crop","Plan; assumptions; sensitivity; approval","MISSING","MISSING","DENY","Не оптимизировать только по числу сортов","0.5-draft"
"TD-CROP-TRIAL","TD-FOOD","FOOD_AGRI","PROCESS","Полевые испытания культур","Проверить сорта на реальном участке до зависимости от них","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-CROP-PLAN|TD-GERMINATION|TD-BASE-TRAINING","","MISSING_TRIALS","INS-001|INS-002|INS-009|INS-011|INS-020|INS-035|INS-037","Replicated plots; inputs; yield; losses and quality logged over multiple seasons","Area grid; scale; known count; weather cross-check","MISSING_PLOT_MAP","PORTUGAL_SITE_REQUIRED","Diseased plants isolated according to local guidance","Unknown disease; protected organism; pesticide need beyond label","At each trial and season","Преемник repeats one trial without changing criteria","Plot map; raw log; harvest weights; photos; review","MISSING","MISSING","DENY","Один удачный сезон не доказывает устойчивость","0.5-draft"
"TD-SEED-REGEN","TD-FOOD","FOOD_AGRI","PROCESS","Получение следующего поколения семян","Сохранять сортовые признаки и достаточную популяцию","S2_TRAINED_SUPERVISED","TRAINED_SUPERVISED","TD-CROP-TRIAL|TD-SEED-BANK|TD-BASE-TRAINING","SUP-LEA-021|SUP-LEA-025","MISSING_CROP_SPECIFIC_PROTOCOL","INS-009|INS-011|INS-013|INS-017|INS-036","Crop-specific isolation; population; selection; drying; storage and germination criteria pass","Known parent lot; germination control; moisture method","MISSING_CROP_SPECIFIC_DIAGRAM","PORTUGAL_SEED_AND_BIOSECURITY_REQUIRED","Diseased or unknown material excluded from exchange","Hybrid or unknown parentage; disease; inadequate population; wet seed","Each generation and storage interval","Преемник produces and tests one accession","Field lineage; isolation; counts; mass; moisture; germination","MISSING","MISSING","DENY","Open-pollinated label alone is insufficient","0.5-draft"
"TD-HARVEST-STORAGE","TD-FOOD","FOOD_AGRI","PROCESS","Уборка; сушка и хранение урожая","Снизить потери без плесени; вредителей и загрязнения","S1_LOW_RISK_HOUSEHOLD","HOUSEHOLD_S1_AFTER_GATE","TD-CROP-TRIAL|TD-BASE-MATERIALS|TD-BASE-METROLOGY","","MISSING_STORAGE_SYSTEM","INS-009|INS-011|INS-013|INS-017","Lot; dry target; temperature; humidity; losses and rejection recorded","Scale; thermometer; hygrometer checks; reference method per crop","MISSING_STORE_LAYOUT","FOOD_RULES_AND_SITE_REQUIRED","Spoiled food isolated from feed; seed and compost decisions","Mold; pests; chemical contamination; unknown moisture; damaged container","Scheduled inspection and rotation; spare containers","Преемник inspects and rejects unsafe lot","Lot log; environment; losses; photos; disposition","MISSING","MISSING","DENY","No physical store or season data","0.5-draft"
