"assignment_id","group_profile_id","function_code","activation_scope","primary_person_id","backup_person_id","successor_person_ids","external_backup_contact_id","role_gate_record_ref","role_gate_state","task_scope","prohibited_scope","effective_from","effective_until","handover_state","assignment_status","owner","review_due","notes","acceptance_record_refs","acceptance_state","availability_window_ref","availability_state","concurrency_plan_ref","concurrency_capacity_state","assignment_activation_gate_state"
"ASG-N2-SHEL","GP-N2","SHELTER_ENERGY_REPAIR","GP-N2","P01","P02","","","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N2-CARE","GP-N2","CARE_ACCESSIBILITY_PETS","GP-N2","P02","P01","","","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-INCIDENT","GP-N3","INCIDENT_COORDINATION","GP-N3","P01","P02","P03","","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-SAFETY","GP-N3","SAFETY_AND_DEPUTY","GP-N3","P02","P01","P03","","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-MED","GP-N3","MEDICAL_CONTINUITY","GP-N3","P02","P03","P01","","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-LOG","GP-N3","LOGISTICS_WASH_FOOD","GP-N3","P03","P01","P02","","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-COMMS","GP-N3","COMMS_INFO_NAV","GP-N3","P03","P01","P02","","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-SHEL","GP-N3","SHELTER_ENERGY_REPAIR","GP-N3","P01","P03","P02","","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N3-CARE","GP-N3","CARE_ACCESSIBILITY_PETS","GP-N3","P02","P03","P01","","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-INCIDENT","GP-N4","INCIDENT_COORDINATION","GP-N4","P01","P02","P03","","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-SAFETY","GP-N4","SAFETY_AND_DEPUTY","GP-N4","P02","P01","P03","","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-MED","GP-N4","MEDICAL_CONTINUITY","GP-N4","P02","P03","P01","","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-LOG","GP-N4","LOGISTICS_WASH_FOOD","GP-N4","P03","P04","P01","","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-COMMS","GP-N4","COMMS_INFO_NAV","GP-N4","P04","P01","P02","","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-SHEL","GP-N4","SHELTER_ENERGY_REPAIR","GP-N4","P03","P04","P01","","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N4-CARE","GP-N4","CARE_ACCESSIBILITY_PETS","GP-N4","P04","P02","P01","","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-INCIDENT","GP-N5","INCIDENT_COORDINATION","GP-N5","P01","P02","P03","","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-SAFETY","GP-N5","SAFETY_AND_DEPUTY","GP-N5","P02","P01","P03","","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-MED","GP-N5","MEDICAL_CONTINUITY","GP-N5","P02","P03","P01","","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-LOG","GP-N5","LOGISTICS_WASH_FOOD","GP-N5","P03","P04","P01","","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-COMMS","GP-N5","COMMS_INFO_NAV","GP-N5","P04","P05","P01","","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-SHEL","GP-N5","SHELTER_ENERGY_REPAIR","GP-N5","P05","P01","P02","","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N5-CARE","GP-N5","CARE_ACCESSIBILITY_PETS","GP-N5","P05","P01","P02","","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-INCIDENT","GP-N6","INCIDENT_COORDINATION","GP-N6","P01","P02","P03","","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-SAFETY","GP-N6","SAFETY_AND_DEPUTY","GP-N6","P02","P01","P03","","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-MED","GP-N6","MEDICAL_CONTINUITY","GP-N6","P03","P04","P01","","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-LOG","GP-N6","LOGISTICS_WASH_FOOD","GP-N6","P04","P05","P01","","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-COMMS","GP-N6","COMMS_INFO_NAV","GP-N6","P05","P06","P01","","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-SHEL","GP-N6","SHELTER_ENERGY_REPAIR","GP-N6","P06","P01","P02","","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N6-CARE","GP-N6","CARE_ACCESSIBILITY_PETS","GP-N6","P06","P01","P02","","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-INCIDENT","GP-N7","INCIDENT_COORDINATION","GP-N7","P01","P02","P03","","TBD","MISSING","Цель периода роли ресурсы связь","Клинические и профессиональные решения вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-SAFETY","GP-N7","SAFETY_AND_DEPUTY","GP-N7","P02","P03","P01","","TBD","MISSING","Safety veto hazards fatigue succession","Вход в опасную зону без допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-MED","GP-N7","MEDICAL_CONTINUITY","GP-N7","P03","P04","P01","","TBD","MISSING","Первая помощь в scope и continuity индивидуальных планов","Диагностика назначения инвазивные действия вне полномочий","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-LOG","GP-N7","LOGISTICS_WASH_FOOD","GP-N7","P04","P05","P01","","TBD","MISSING","Вода санитария питание запасы","Объявление непроверенной воды питьевой","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-COMMS","GP-N7","COMMS_INFO_NAV","GP-N7","P05","P06","P01","","TBD","MISSING","Официальная информация PACE карты журнал","Незаконная передача или публикация чувствительных координат","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-SHEL","GP-N7","SHELTER_ENERGY_REPAIR","GP-N7","P06","P07","P01","","TBD","MISSING","Укрытие энергия безопасный ремонт","Работы с сетью газом конструкцией вне допуска","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
"ASG-N7-CARE","GP-N7","CARE_ACCESSIBILITY_PETS","GP-N7","P07","P01","P02","","TBD","MISSING","Доступность dependent care дети животные","Передача зависимого лица без подтверждённого права и identity","","","NOT_EFFECTIVE","PLANNED","","","Профильный пример; пригодность и согласие не подтверждены","TBD","NOT_RECORDED","TBD","NOT_VERIFIED","TBD","NOT_ASSESSED","BLOCKED"
