"package_id","domain_group_codes","title","publisher","content_scope","canonical_url","acquisition_url","rights_url","license_or_terms","language","jurisdiction","format","offline_method","tier","safety_class","update_class","criticality","breadth","actionability","reproducibility","offline_fit","rights_clarity","language_fit","maintainability","safety_penalty","volatility_penalty","storage_penalty","release_state","acquisition_state","rights_state","content_review_state","offline_open_state","sha256","local_path","retrieved_at","review_due","priority_score","notes"
"PSP-012","MATH","OpenStax Algebra and Trigonometry 2e","OpenStax/Rice University","Практический источник для групп MATH","https://openstax.org/details/books/algebra-and-trigonometry-2e","https://openstax.org/details/books/algebra-and-trigonometry-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Algebra, functions and trigonometry."
"PSP-013","MATH|PHYS","OpenStax Calculus Volume 1","OpenStax/Rice University","Практический источник для групп MATH|PHYS","https://openstax.org/details/books/calculus-volume-1","https://openstax.org/details/books/calculus-volume-1","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Calculus foundation."
"PSP-014","MATH|METH","OpenStax Introductory Statistics 2e","OpenStax/Rice University","Практический источник для групп MATH|METH","https://openstax.org/details/books/introductory-statistics-2e","https://openstax.org/details/books/introductory-statistics-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Statistics curriculum and exercises."
"PSP-015","PHYS","OpenStax College Physics 2e","OpenStax/Rice University","Практический источник для групп PHYS","https://openstax.org/details/books/college-physics-2e","https://openstax.org/details/books/college-physics-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L1","S1_LOW_RISK_HOUSEHOLD","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Broad algebra-based physics; experiments still need local safety review."
"PSP-016","CHEM","OpenStax Chemistry 2e","OpenStax/Rice University","Практический источник для групп CHEM","https://openstax.org/details/books/chemistry-2e","https://openstax.org/details/books/chemistry-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L2","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","5","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Theory and exercises; laboratory procedures are separately gated. [CANONICAL_URL_SAFETY_FLOOR=S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD]"
"PSP-017","LIFE","OpenStax Biology 2e","OpenStax/Rice University","Практический источник для групп LIFE","https://openstax.org/details/books/biology-2e","https://openstax.org/details/books/biology-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L1","S1_LOW_RISK_HOUSEHOLD","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","General biology."
"PSP-018","HEALTH|LIFE","OpenStax Anatomy and Physiology 2e","OpenStax/Rice University","Практический источник для групп HEALTH|LIFE","https://openstax.org/details/books/anatomy-and-physiology-2e","https://openstax.org/details/books/anatomy-and-physiology-2e","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Educational anatomy; not diagnostic or clinical authority."
"PSP-019","LIFE|HEALTH","OpenStax Microbiology","OpenStax/Rice University","Практический источник для групп LIFE|HEALTH","https://openstax.org/details/books/microbiology","https://openstax.org/details/books/microbiology","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA policy; verify book notice","en","International/reference","PDF/HTML","official PDF download","L2","S4_REFERENCE_ONLY_PROHIBITED_HOUSEHOLD","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","4","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Reference only in household kit; no unknown-organism culturing."
"PSP-020","COMP","OpenStax Introduction to Computer Science","OpenStax/Rice University","Практический источник для групп COMP","https://openstax.org/details/books/introduction-computer-science","https://openstax.org/details/books/introduction-computer-science","https://help.openstax.org/s/article/Licensing-information-of-OpenStax-textbooks","CC BY-NC-SA 4.0 per book preface/current policy","en","International/reference","PDF/HTML","official PDF download","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Computer-science curriculum."
"PSP-021","MATH|PHYS|CHEM|COMP","MIT OpenCourseWare core STEM course set","MIT OpenCourseWare","Практический источник для групп MATH|PHYS|CHEM|COMP","https://ocw.mit.edu/","https://ocw.mit.edu/","https://ocw.mit.edu/pages/privacy-and-terms-of-use/","CC BY-NC-SA with third-party exclusions","en","International/reference","HTML/PDF/video/source","use official per-course download; exclude third-party items","L3","S1_LOW_RISK_HOUSEHOLD","ANNUAL_OR_EDITION","4","5","4","5","4","4","2","3","1","1","4","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Select prerequisite-complete courses; do not bulk scrape unrelated MIT Learn content."
"PSP-022","MECH|ELEC|COMP","MIT OpenCourseWare engineering course set","MIT OpenCourseWare","Практический источник для групп MECH|ELEC|COMP","https://ocw.mit.edu/search/?d=Mechanical%20Engineering","https://ocw.mit.edu/search/?d=Mechanical%20Engineering","https://ocw.mit.edu/pages/privacy-and-terms-of-use/","CC BY-NC-SA; per-course third-party review","en","International/reference","HTML/PDF/video/source","official per-course downloads only","L3","S2_TRAINED_SUPERVISED","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","2","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Engineering theory and design; shop/lab execution remains gated."
"PSP-023","METH|OPS","MIT OpenCourseWare systems and operations set","MIT OpenCourseWare","Практический источник для групп METH|OPS","https://ocw.mit.edu/search/?q=systems%20engineering","https://ocw.mit.edu/search/?q=systems%20engineering","https://ocw.mit.edu/pages/privacy-and-terms-of-use/","CC BY-NC-SA; per-course third-party review","en","International/reference","HTML/PDF/video","official per-course downloads only","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Systems thinking, operations and decision analysis."
"PSP-024","PHYS|CHEM|MATH","PhET regular HTML simulations","University of Colorado Boulder PhET","Практический источник для групп PHYS|CHEM|MATH","https://phet.colorado.edu/en/offline-access","https://phet.colorado.edu/en/offline-access","https://phet.colorado.edu/en/licensing","CC BY-NC 4.0 for regular HTML sims; PhET-iO/Studio excluded","multi","International/reference","HTML5","download individual regular HTML simulations or licensed offline app","L1","S1_LOW_RISK_HOUSEHOLD","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Offline interactive simulations; preserve attribution and exact variant."
"PSP-025","EDU|MATH|PHYS|CHEM|LIFE","Kolibri offline learning platform and selected channels","Learning Equality","Практический источник для групп EDU|MATH|PHYS|CHEM|LIFE","https://learningequality.org/kolibri/about-kolibri/","https://learningequality.org/kolibri/about-kolibri/","https://kolibri.readthedocs.io/en/latest/manage/resources.html","software open source; content rights per channel/resource","multi","International/reference","software/content channels","export/import selected channels by USB","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Container is not a blanket license for its content."
"PSP-026","EDU|MATH|PHYS|CHEM|LIFE|COMP","Kiwix library catalog and OpenZIM packages","Kiwix/OpenZIM","Практический источник для групп EDU|MATH|PHYS|CHEM|LIFE|COMP","https://library.kiwix.org/","https://library.kiwix.org/","https://www.kiwix.org/en/legal/","rights per source project and ZIM","multi","International/reference","ZIM","download selected ZIM and reader; preserve catalog metadata/hash","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","General reference and education; not action authority."
"PSP-027","EDU|MATH|PHYS|CHEM|LIFE","Wikibooks/Wikiversity offline ZIM set","Wikimedia/OpenZIM","Практический источник для групп EDU|MATH|PHYS|CHEM|LIFE","https://download.kiwix.org/zim/wikibooks/","https://download.kiwix.org/zim/wikibooks/","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","project and page licenses; attribution required","multi","International/reference","ZIM","select language/variant/date and download ZIM","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Community education; verify quality and safety per lesson."
"PSP-028","COMP|MECH|ELEC","Stack Exchange technical offline ZIM set","Stack Exchange/OpenZIM","Практический источник для групп COMP|MECH|ELEC","https://download.kiwix.org/zim/stack_exchange/","https://download.kiwix.org/zim/stack_exchange/","https://stackoverflow.com/help/licensing","CC BY-SA versions/attribution per posts; verify ZIM notices","en","International/reference","ZIM","select communities/date and download ZIM","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Troubleshooting background; answers are not automatically correct."
"PSP-029","EDU|PORT","Wiktionary RU/UK/PT/EN offline set","Wikimedia/OpenZIM","Практический источник для групп EDU|PORT","https://download.kiwix.org/zim/wiktionary/","https://download.kiwix.org/zim/wiktionary/","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","Wikimedia project licenses and attribution","ru|uk|pt|en","Portugal/EU","ZIM","download exact language/date variants","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Language continuity and terminology."
"PSP-030","ARCH|EDU","Wikimedia project XML dumps","Wikimedia Foundation","Практический источник для групп ARCH|EDU","https://dumps.wikimedia.org/backup-index.html","https://dumps.wikimedia.org/backup-index.html","https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use","project/page licenses and attribution","multi","International/reference","XML/BZ2/7z","download selected project dumps with checksums","L4","S0_OBSERVE_READ","ANNUAL_OR_EDITION","2","5","1","3","2","3","4","3","0","1","5","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Deep preservation source; needs renderer/index build and large storage."
"PSP-031","EARTH|PORT","USGS The National Map datasets","US Geological Survey","Практический источник для групп EARTH|PORT","https://www.usgs.gov/the-national-map-data-delivery/gis-data-download","https://www.usgs.gov/the-national-map-data-delivery/gis-data-download","https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits","US government public domain with exceptions/credit","en","Portugal/EU","GeoTIFF/GeoPackage/shapefile","download selected areas/layers and metadata","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","US-reference geodata; not Portugal operational mapping."
"PSP-032","EARTH|HEALTH","USGS Water Science School","US Geological Survey","Практический источник для групп EARTH|HEALTH","https://www.usgs.gov/special-topics/water-science-school","https://www.usgs.gov/special-topics/water-science-school","https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits","US government public domain with exceptions","en","International/reference","HTML/PDF/images","archive selected educational pages/items","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Hydrology education; not water-safety certification."
"PSP-033","EARTH","USGS Publications Warehouse selected handbooks/maps","US Geological Survey","Практический источник для групп EARTH","https://pubs.usgs.gov/","https://pubs.usgs.gov/","https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits","US government public domain with exceptions","en","International/reference","PDF/data","per-item download and metadata capture","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Geology, hydrology and hazards; select region-relevant items."
"PSP-034","EARTH|AGRI","NASA Earthdata selected open datasets and tutorials","NASA","Практический источник для групп EARTH|AGRI","https://www.earthdata.nasa.gov/","https://www.earthdata.nasa.gov/","https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy","NASA Earth science data policy; dataset-specific terms","en","International/reference","data/GeoTIFF/NetCDF/HTML","use official download mechanisms; preserve DOI/metadata","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Remote sensing and climate; may require account/tooling."
"PSP-035","EARTH","NOAA Climate Data Online and educational references","NOAA/NCEI","Практический источник для групп EARTH","https://www.ncei.noaa.gov/cdo-web/","https://www.ncei.noaa.gov/cdo-web/","https://www.noaa.gov/information-technology/open-data-dissemination","US government data with dataset exceptions","en","International/reference","CSV/data/HTML","download selected stations/periods and metadata","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Historical climate reference; not local live warning."
"PSP-036","EARTH|PORT","Copernicus Climate Data Store","ECMWF/Copernicus","Практический источник для групп EARTH|PORT","https://cds.climate.copernicus.eu/","https://cds.climate.copernicus.eu/","https://cds.climate.copernicus.eu/terms-of-use","Copernicus licence/attribution and dataset terms","en","Portugal/EU","NetCDF/GRIB/CSV","official API/manual subset export","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Climate reanalysis and derived datasets."
"PSP-037","EARTH|PORT","Copernicus Emergency Management Service data","European Commission/JRC","Практический источник для групп EARTH|PORT","https://emergency.copernicus.eu/","https://emergency.copernicus.eu/","https://emergency.copernicus.eu/mapping/ems/terms-and-conditions","Copernicus terms and attribution","en","Portugal/EU","maps/data","download published activations/products per terms","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Historical/reference products; not replacement for current authorities."
"PSP-038","EARTH|PORT","European Environment Agency datasets","EEA","Практический источник для групп EARTH|PORT","https://www.eea.europa.eu/en/datahub","https://www.eea.europa.eu/en/datahub","https://www.eea.europa.eu/en/legal-notice","EEA reuse/legal notice; third-party exceptions","en","Portugal/EU","CSV/GIS/API/PDF","per-dataset export and metadata capture","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","European environment indicators and spatial data."
"PSP-039","EARTH|PORT","ESA Earth observation education and data guides","European Space Agency","Практический источник для групп EARTH|PORT","https://earth.esa.int/eogateway/","https://earth.esa.int/eogateway/","https://www.esa.int/Terms_and_Conditions","ESA terms; item/mission review","en","Portugal/EU","HTML/PDF/data links","archive allowed guides; data per mission terms","L2","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Earth observation methods and mission documentation."
"PSP-040","EARTH|PORT","WMO guides and manuals catalog","World Meteorological Organization","Практический источник для групп EARTH|PORT","https://library.wmo.int/","https://library.wmo.int/","https://public.wmo.int/en/copyright-notice","WMO copyright/item terms","en|fr|es|ru","Portugal/EU","PDF/metadata","per-item download after license notice review","L2","S2_TRAINED_SUPERVISED","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","2","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Meteorological observation and climatology; professional procedures gated."
"PSP-041","AGRI|LIFE|EARTH","FAO Knowledge Repository selected manuals","FAO","Практический источник для групп AGRI|LIFE|EARTH","https://openknowledge.fao.org/","https://openknowledge.fao.org/","https://www.fao.org/publications/about-fao-publishing/permissions/","license per publication; many use CC BY-NC-SA 3.0 IGO","multi","International/reference","PDF/metadata","per-item PDF acquisition and license capture","L2","S2_TRAINED_SUPERVISED","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","2","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Agriculture, food, forestry, water and rural systems."
"PSP-042","AGRI|LIFE","AGRIS Open Data dump","FAO","Практический источник для групп AGRI|LIFE","https://www.fao.org/agris/download","https://www.fao.org/agris/download","https://www.fao.org/agris/download","CC BY 3.0 IGO stated for AGRIS dataset; verify release","multi","International/reference","RDF/XML/CSV","official bulk dump and checksum if published","L3","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Discovery metadata; linked full texts retain their own rights."
"PSP-043","AGRI|EDU|PORT","AGROVOC multilingual vocabulary","FAO","Практический источник для групп AGRI|EDU|PORT","https://www.fao.org/agrovoc/","https://www.fao.org/agrovoc/","https://www.fao.org/agrovoc/about","capture current data license and attribution","multi","Portugal/EU","RDF/SKOS/CSV","official release download","L1","S0_OBSERVE_READ","ANNUAL_OR_EDITION","4","4","3","4","4","3","2","4","1","2","1","CANDIDATE","NOT_DOWNLOADED","REQUIRES_ITEM_REVIEW","NOT_REVIEWED","NOT_TESTED","","","","","","Multilingual agriculture terminology."
