gap_id,domain,scope_layer,priority_tier,earliest_service_level,gap_ru,blocks_service_level,blocker,required_evidence,current_evidence,status,owner,due,release_gate,release_version,notes
GAP-011,MAPS_COMMS,SITE,P0_RED,SL0,"Схема объекта/участка: выходы, отключения, вода, электричество, газ, огнетушители, аптечки, опасности и сбор","SL0|SL1|SL2",YES,"Актуальный план с легендой; маркировка на месте; ночной тест; два пути выхода; печатные копии; дата обхода","Готовых site-specific схем 0",OPEN_NO_MAP_LAYER_3,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_SITE_MAP_WALKED_AND_SIGNED,0.5-draft,"Третий из трёх обязательных слоёв карт"
GAP-012,WATER_WASH,SITE_PERSON,P0_RED,SL1,"Измеренный резерв питьевой и хозяйственной воды для 1, 2 и 3–7 человек","SL1|SL2|SL3",YES,"Литры; число людей; дни; тара; дата наполнения; ротация; потери; доступность; второй путь снабжения; тест выдачи","Каталог и формула мощности есть; физический объём 0 подтверждён",OPEN_NO_WATER_CAPACITY_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_WATER_RESERVE_MEASURED_AND_TESTED,0.5-draft,"Количество определяется профилями людей, климатом и официальными рекомендациями"
GAP-013,WATER_WASH,SITE,P0_RED,SL1,"Анализ источника воды и проверенный безопасный treatment train с измерениями","SL1|SL2|SL3|SL4",YES,"Описание источника; лабораторный/валидный тест; целевые загрязнители; оборудование; расходники; калибровка; критерии прохода; журнал качества; безопасные отходы","Есть источники WASH и каталог; объектовых проб и испытанной линии 0",OPEN_NO_WATER_TEST_AND_PROCESS_VALIDATION,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_WATER_QUALITY_AND_TREATMENT_VALIDATED,0.5-draft,"Органолептика не доказывает микробиологическую или химическую безопасность"
GAP-014,FOOD_AGRI,SITE_PERSON,P0_RED,SL1,"Физический резерв пищи и проверенное меню с учётом людей, воды, топлива и медицинских ограничений","SL1|SL2|SL3",YES,"Инвентарь; энергия и белок; аллергии/диеты; меню; вода и топливо на приготовление; сроки; ротация; тест недели; отходы","Каталог пищи есть; подтверждённого резерва и меню 0",OPEN_NO_FOOD_RESERVE_OR_MENU_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_FOOD_RESERVE_AND_MENU_TESTED,0.5-draft,"Считать не пачки, а рацион, срок, приготовление и потери"
GAP-015,FOOD_AGRI,SITE,P2_YELLOW,SL3,"Семенной accession-register, тест всхожести, план обновления и географически отделённый дубль","SL3|SL4|SL5|SL6",YES,"Вид/сорт; open-pollinated или гибрид; происхождение; lot; год; число/масса; влажность/температура; всхожесть; площадь; изоляция; harvest-to-seed protocol; дубликат","Каталожные и закупочные материалы есть; подтверждённых accession, germination test и duplicate store 0",OPEN_NO_VERIFIED_SEED_BANK,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_SEED_ACCESSIONS_TESTED_AND_DUPLICATED,0.5-draft,"Одна пачка не является долгосрочным семенным банком; хранение без размножения не покрывает 100 лет"
GAP-016,WORKSHOP,SITE,P1_ORANGE,SL2,"Физический комплект ручных/электрических инструментов, оснастки, СИЗ и запчастей","SL2|SL3|SL4|SL5",YES,"Осмотр; ведомость; состояние; тест под нагрузкой; расходники; СИЗ; места; резерв критических инструментов; обслуживание","Инструменты перечислены в каталоге; подтверждённых единиц 0",OPEN_NO_TOOL_INVENTORY,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_TOOLS_PHYSICALLY_VERIFIED_AND_TESTED,0.5-draft,"Самодельный инструмент требует отдельного чертежа, материала, теста и границ нагрузки"
GAP-017,WORKSHOP,SITE,P2_YELLOW,SL3,"Измерительные приборы, эталоны и калибровка","SL3|SL4|SL5",YES,"Серийные номера; диапазон и точность; эталон; процедура; сертификат/сравнение; дата; неопределённость; критерий браковки; запас батарей/расходников","Реестр типов приборов есть; принадлежащих и калиброванных приборов 0",OPEN_NO_CALIBRATION_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_INSTRUMENTS_OWNED_AND_CALIBRATED,0.5-draft,"Измерение без диапазона, единиц, допуска и эталона не является доказательством"
GAP-018,CONSTRUCTION,GENERAL_SITE,P2_YELLOW,SL3,"Выпущенные пакеты чертёж + BOM + инструменты + измерения + испытание + обслуживание","SL3|SL4|SL5",YES,"Версионированный чертёж; размеры/допуски; BOM; материал; инструмент; безопасность; сборка; контрольные точки; нагрузочный тест; отказ; обслуживание; рецензент","Архитектура production package есть; выпущенных пакетов 0",OPEN_NO_RELEASED_DRAWING_BOM_TEST_PACKAGE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_DRAWING_BOM_TEST_PACKAGE_REVIEWED_AND_VALIDATED,0.5-draft,"Не выпускать чертёж без критериев приёмки и безопасного отказа"
GAP-019,ENERGY,SITE_PERSON,P1_ORANGE,SL1,"Аудит критических электрических и тепловых нагрузок по времени и пусковой мощности","SL1|SL2|SL3|SL4",YES,"Перечень нагрузок; W/Wh; пуск; режим; приоритет отключения; профиль 24 часа; измерение; автономия; потери; защита; второй путь","Каталог систем есть; измеренного load profile 0",OPEN_NO_ENERGY_LOAD_AUDIT,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_CRITICAL_LOADS_MEASURED_AND_BACKED_UP,0.5-draft,"Выбор генерации и батарей до измерения нагрузки недостоверен"
GAP-020,MAPS_COMMS,PERSON_GROUP_SITE,P0_RED,SL0,"Проверенная PACE-связь, список контактов, окна check-in и сигналы отказа","SL0|SL1|SL2|SL3",YES,"Primary/Alternate/Contingency/Emergency каналы; контакты; заряд; покрытие; тест из ключевых точек; расписание; кодовые фразы без двусмысленности; бумажная копия","Архитектура связи есть; фактических каналов и тестов 0",OPEN_NO_COMMS_TEST,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_COMMS_CHANNELS_FIELD_TESTED,0.5-draft,"Радиосвязь и частоты должны соответствовать действующему праву"
GAP-021,PORTUGAL,PORTUGAL,P0_RED,SL0,"Актуальные официальные контакты, предупреждения, право и процедуры Португалии","SL0|SL1|SL2|SL3|SL4|SL5",YES,"Официальный источник; точное утверждение; юрисдикция; дата проверки; срок пересмотра; португальский оригинал; понятный перевод; ответственный","36 Portugal-узлов и несколько payload; item-level актуальность полностью не проверена",OPEN_PARTIAL_PORTUGAL_REFERENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_PORTUGAL_CONTACTS_AND_RULES_CURRENT,0.5-draft,"Общий справочник не должен переопределять текущие указания властей"
GAP-022,KNOWLEDGE,GENERAL_PORTUGAL,P2_YELLOW,SL3,"Проверка лицензий, авторских прав, условий хранения, копирования и передачи офлайн-корпуса","SL3|SL4|SL5|SL6",YES,"Лицензия/правовое основание по каждому payload; разрешённые действия; атрибуция; ограничения; дата; рецензент","Файлы сохранены; полный rights review не завершён",OPEN_RIGHTS_REVIEW,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_RIGHTS_REVIEW_DOCUMENTED,0.5-draft,"Техническая возможность копирования не означает юридическое разрешение"
GAP-023,KNOWLEDGE,GENERAL_PORTUGAL,P1_ORANGE,SL2,"Предметная ручная проверка всех 45 фактических офлайн-файлов","SL2|SL3|SL4|SL5",YES,"Рецензент; дата; язык; версия; применимые разделы; ошибки; устаревание; безопасность; локализация; решение keep/replace/quarantine","45/45 файлов проходят машинную целостность; визуально проверены первые страницы 43 PDF; предметная ручная рецензия остаётся неполной",OPEN_PAYLOAD_HUMAN_REVIEW,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_PAYLOADS_HUMAN_REVIEWED,0.5-draft,"Хеш сигнатура и открытие доказывают техническую пригодность файла, не истинность содержания"
GAP-024,KNOWLEDGE,SITE,P1_ORANGE,SL2,"Запуск Kiwix на целевом устройстве и открытие сохранённого Appropedia ZIM без сети","SL2|SL3|SL4|SL5",YES,"Установка; launch; ZIM open; поиск; переход статей; перезапуск без сети; скрин/журнал; версия ОС; запасной reader","DMG и ZIM присутствуют и проходят машинные проверки; пользовательский end-to-end тест 0",OPEN_KIWIX_ZIM_E2E_TEST,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_KIWIX_AND_ZIM_OPEN_OFFLINE,0.5-draft,"Техническая целостность DMG не равна рабочему чтению базы"
GAP-025,KNOWLEDGE,SITE,P1_ORANGE,SL2,"Независимые резервные копии и доказанное восстановление всего кита без сети","SL2|SL3|SL4|SL5|SL6",YES,"Минимум две независимые копии; одна географически отделена; manifest/hash; зашифрованные приватные данные; restore drill; время восстановления; журнал ошибок","Фактический restore drill и независимые носители не подтверждены",OPEN_NO_RESTORE_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_BACKUP_RESTORE_DRILL_PASSED,0.5-draft,"Копия считается резервной только после восстановления"
GAP-026,GOVERNANCE,GROUP,P0_RED,SL0,"Роли, дублёры, полномочия, журнал решений, механизм разногласий и смена управления","SL0|SL1|SL2|SL3|SL4|SL5|SL6",YES,"Role matrix; владелец/дублёр каждой критической функции; правила экстренного решения; consent; журнал; handover drill; конфликтный процесс","Архитектурные узлы управления есть; назначенных людей 0",OPEN_NO_GROUP_ROLES,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_GROUP_ROLES_ASSIGNED_AND_EXERCISED,0.5-draft,"Система должна работать при отсутствии одного ключевого человека"
GAP-027,SHELTER,SITE,P0_RED,SL0,"Осмотр укрытия, пожарных рисков, путей выхода, вентиляции и CO","SL0|SL1|SL2|SL3",YES,"Site walk; два пути выхода; smoke/CO alarms с тестом; огнетушители по риску; отключения; вентиляция; отопление; ночная тренировка; журнал обслуживания","Каталог безопасности укрытия есть; объектового осмотра и теста 0",OPEN_NO_SHELTER_FIRE_CO_EVIDENCE,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_SHELTER_FIRE_CO_CONTROLS_TESTED,0.5-draft,"Горение в помещении без рассчитанного воздуха, отвода и CO-контроля запрещено"
GAP-028,WATER_WASH,SITE,P0_RED,SL1,"Практическая система туалета, гигиены, серых вод, мусора и опасных отходов","SL1|SL2|SL3|SL4",YES,"Поток отходов; ёмкости; разделение; средства гигиены; очистка; PPE; законный вывоз/обработка; capacity; тест 72 часа; вредители; журнал","55 WASH-узлов и справочные PDF есть; физической системы и теста 0",OPEN_NO_SANITATION_WASTE_SYSTEM,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_SANITATION_AND_WASTE_TESTED,0.5-draft,"Не смешивать человеческие, химические, медицинские и горючие отходы"
GAP-029,BASE,PERSON_GROUP_SITE,P1_ORANGE,SL2,"Сквозные тренировки всех P0/P1 сценариев и журнал корректирующих действий","SL2|SL3|SL4|SL5",YES,"Сценарии; участники; наблюдатель; время; результат; near misses; фото/лог; corrective action; повторный тест; следующая дата","Каталог сценариев есть; выполненных сквозных drills 0",OPEN_NO_INTEGRATED_DRILLS,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_P0_P1_SCENARIOS_DRILLED,0.5-draft,"Начинать с безопасных tabletop и walk-through; рискованные действия не имитировать без контроля"
GAP-030,ENERGY_FUELS,SITE,P1_ORANGE,SL1,"Безопасное приготовление пищи и тепло с вентиляцией, пожарной защитой, CO-контролем и законным топливом","SL1|SL2|SL3",YES,"Утверждённое оборудование; совместимое топливо; хранение; вентиляция; CO alarm; пожарный контроль; тест; запас; обслуживание; инструкция производителя","Каталог энергосистем есть; физическая система и тест 0",OPEN_NO_SAFE_COOKING_HEAT_PATH,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_CERTIFIED_COOKING_HEAT_PATH_TESTED,0.5-draft,"Самодельное производство бензина, дизеля или керосина не является бытовой ветвью"
GAP-031,BASE,SITE,P2_YELLOW,SL3,"Календарь обслуживания, ротации, калибровки, обновления источников и критических запчастей","SL3|SL4|SL5|SL6",YES,"Asset/source owner; backup; interval; next_due; spare level; work log; failure history; trigger for replacement; annual review","Большинство owner и next_due имеют UNASSIGNED/TBD",OPEN_NO_MAINTENANCE_OWNERSHIP,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_MAINTENANCE_CALENDAR_ASSIGNED,0.5-draft,"Сто лет достигаются повторяемым обслуживанием и передачей, а не разовой закупкой"
GAP-032,HAZARD,GENERAL_PORTUGAL_SITE,P2_YELLOW,SL3,"Контроль доступа и правовая/профессиональная граница для S3/S4 материалов","SL3|SL4|SL5",YES,"Классификация; основание ограничения; доступ; предупреждение; закон; компетенция; facility controls; отходы; incident plan; ежегодный review","74 узла REFERENCE_ONLY; готовность контроля доступа и review не подтверждена",OPEN_HAZARD_GOVERNANCE_REVIEW,UNASSIGNED,TBD_NOT_SCHEDULED,DENY_UNTIL_S3_S4_ACCESS_AND_REVIEW_CONTROLS_DEFINED,0.5-draft,"Не публиковать бытовые рецепты взрывчатых веществ, импровизированных топлив, синтеза лекарств или высокорисковой химии"
