"edge_id","from_node_id","to_node_id","edge_role","alternative_group","minimum_required_count","service_level","applicable_if","rationale","review_state","release_gate","release_version"
"EDGE-TD-ROOT-013","TD-ROOT","TD-TRANSPORT","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-014","TD-ROOT","TD-SECURITY","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-015","TD-ROOT","TD-EDUCATION","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-016","TD-ROOT","TD-MATERIALS-PRODUCTION","CONDITIONAL","","","SL5","household_repair_or_intergroup_production_path_selected","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-017","TD-ROOT","TD-CONSTRUCTION","CONDITIONAL","","","SL3","construction_or_structural_work_present","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-018","TD-ROOT","TD-ANIMALS","CONDITIONAL","","","SL3","animals_present","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-019","TD-ROOT","TD-ENVIRONMENT","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-020","TD-ROOT","TD-PORTUGAL","REQUIRED","","","SL0","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-ROOT-021","TD-ROOT","TD-HAZARDS","HAZARD_ONLY","","","SL0","always_visible_as_stop_boundary","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-001","TD-BASE","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-002","TD-BASE","TD-BASE-SITE","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-003","TD-BASE","TD-BASE-INVENTORY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-004","TD-BASE","TD-BASE-METROLOGY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-005","TD-BASE","TD-BASE-DRAWINGS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-006","TD-BASE","TD-BASE-MATERIALS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-007","TD-BASE","TD-BASE-ARCHIVE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-008","TD-BASE","TD-BASE-TRAINING","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-009","TD-BASE","TD-BASE-MAINTENANCE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-SITE-001","TD-BASE-SITE","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-INVENTORY-001","TD-BASE-INVENTORY","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-INVENTORY-002","TD-BASE-INVENTORY","TD-BASE-SITE","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-001","TD-BASE-METROLOGY","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-002","TD-BASE-METROLOGY","TD-BASE-INVENTORY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-003","TD-BASE-METROLOGY","TD-METRO-SI","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-004","TD-BASE-METROLOGY","TD-METRO-LENGTH","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-005","TD-BASE-METROLOGY","TD-METRO-MASS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-006","TD-BASE-METROLOGY","TD-METRO-TIME","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-007","TD-BASE-METROLOGY","TD-METRO-TEMP","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-008","TD-BASE-METROLOGY","TD-METRO-HUMIDITY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-009","TD-BASE-METROLOGY","TD-METRO-PRESSURE","CONDITIONAL","","","SL3","applicable_profile_site_or_qualified_role_required","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-010","TD-BASE-METROLOGY","TD-METRO-FLOW","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-011","TD-BASE-METROLOGY","TD-METRO-VOLUME","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-012","TD-BASE-METROLOGY","TD-METRO-ANGLE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-013","TD-BASE-METROLOGY","TD-METRO-ELECTRIC","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-014","TD-BASE-METROLOGY","TD-METRO-LIGHT","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-015","TD-BASE-METROLOGY","TD-METRO-CO-SMOKE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-016","TD-BASE-METROLOGY","TD-METRO-PH","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-017","TD-BASE-METROLOGY","TD-METRO-EC","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-018","TD-BASE-METROLOGY","TD-METRO-TURBIDITY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-019","TD-BASE-METROLOGY","TD-METRO-CHLORINE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-020","TD-BASE-METROLOGY","TD-METRO-SOIL","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-021","TD-BASE-METROLOGY","TD-METRO-MOISTURE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-022","TD-BASE-METROLOGY","TD-METRO-RAIN","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-023","TD-BASE-METROLOGY","TD-METRO-WIND","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-024","TD-BASE-METROLOGY","TD-METRO-POSITION","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-025","TD-BASE-METROLOGY","TD-METRO-MEDICAL","CONDITIONAL","","","SL3","applicable_profile_site_or_qualified_role_required","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-026","TD-BASE-METROLOGY","TD-METRO-REFERENCE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-027","TD-BASE-METROLOGY","TD-METRO-UNCERTAINTY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-028","TD-BASE-METROLOGY","TD-METRO-HISTORY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-029","TD-BASE-METROLOGY","TD-METRO-SPARES","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-METROLOGY-030","TD-BASE-METROLOGY","TD-METRO-FAILURE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-DRAWINGS-001","TD-BASE-DRAWINGS","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-DRAWINGS-002","TD-BASE-DRAWINGS","TD-BASE-SITE","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-DRAWINGS-003","TD-BASE-DRAWINGS","TD-BASE-METROLOGY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-MATERIALS-001","TD-BASE-MATERIALS","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-MATERIALS-002","TD-BASE-MATERIALS","TD-BASE-INVENTORY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-ARCHIVE-001","TD-BASE-ARCHIVE","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-ARCHIVE-002","TD-BASE-ARCHIVE","TD-BASE-INVENTORY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-TRAINING-001","TD-BASE-TRAINING","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-TRAINING-002","TD-BASE-TRAINING","TD-BASE-ARCHIVE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-MAINTENANCE-001","TD-BASE-MAINTENANCE","TD-BASE-INVENTORY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-MAINTENANCE-002","TD-BASE-MAINTENANCE","TD-BASE-DRAWINGS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-MAINTENANCE-003","TD-BASE-MAINTENANCE","TD-BASE-MATERIALS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-BASE-MAINTENANCE-004","TD-BASE-MAINTENANCE","TD-BASE-METROLOGY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-001","TD-WATER","TD-BASE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-002","TD-WATER","TD-WATER-SOURCE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-003","TD-WATER","TD-WATER-YIELD","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-004","TD-WATER","TD-WATER-RISK","CONDITIONAL","","","SL3","applicable_profile_site_or_qualified_role_required","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-005","TD-WATER","TD-WATER-TREATMENT","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-006","TD-WATER","TD-WATER-STORAGE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-007","TD-WATER","TD-WATER-MONITORING","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-008","TD-WATER","TD-SANITATION","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-009","TD-WATER","TD-WATER-P0-RESERVE","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-010","TD-WATER","TD-WATER-DEMAND","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-011","TD-WATER","TD-WATER-RATION","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-012","TD-WATER","TD-WATER-VULNERABLE","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-013","TD-WATER","TD-WATER-COLLECTION","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-014","TD-WATER","TD-WATER-CARRY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-015","TD-WATER","TD-WATER-CROSS-CONTAM","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-016","TD-WATER","TD-WATER-LABEL","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-017","TD-WATER","TD-WATER-EMERGENCY-PRODUCT","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-018","TD-WATER","TD-WATER-CONTAINER-CLEAN","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-019","TD-WATER","TD-WATER-PORTFOLIO","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-020","TD-WATER","TD-WATER-RAIN","ALTERNATIVE","WATER_SOURCE","1","SL2","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-021","TD-WATER","TD-WATER-DELIVERED","ALTERNATIVE","WATER_SOURCE","1","SL2","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-022","TD-WATER","TD-WATER-WELL","ALTERNATIVE","WATER_SOURCE","1","SL3","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-023","TD-WATER","TD-WATER-SURFACE","ALTERNATIVE","WATER_SOURCE","1","SL3","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-024","TD-WATER","TD-WATER-GRAVITY","ALTERNATIVE","WATER_DELIVERY","1","SL2","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-025","TD-WATER","TD-WATER-HAND-PUMP","ALTERNATIVE","WATER_DELIVERY","1","SL2","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-026","TD-WATER","TD-WATER-LOWE-PUMP","ALTERNATIVE","WATER_DELIVERY","1","SL2","select_at_least_one_verified_path_for_applicable_service","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-027","TD-WATER","TD-WATER-DISTRIBUTION","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-028","TD-WATER","TD-WATER-BACKFLOW","CONDITIONAL","","","SL3","applicable_profile_site_or_qualified_role_required","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-029","TD-WATER","TD-WATER-LEAK","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-030","TD-WATER","TD-WATER-SPARES","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-031","TD-WATER","TD-WATER-LAB","CONDITIONAL","","","SL3","applicable_profile_site_or_qualified_role_required","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-032","TD-WATER","TD-WATER-REDUNDANCY","REQUIRED","","","SL2","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-SOURCE-001","TD-WATER-SOURCE","TD-BASE-SITE","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-SOURCE-002","TD-WATER-SOURCE","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-YIELD-001","TD-WATER-YIELD","TD-WATER-SOURCE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-YIELD-002","TD-WATER-YIELD","TD-BASE-METROLOGY","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-RISK-001","TD-WATER-RISK","TD-WATER-SOURCE","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-RISK-002","TD-WATER-RISK","TD-BASE-SAFETY","REQUIRED","","","SL1","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-TREATMENT-001","TD-WATER-TREATMENT","TD-WATER-RISK","CONDITIONAL","","","SL3","applicable_profile_site_or_qualified_role_required","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-TREATMENT-002","TD-WATER-TREATMENT","TD-WATER-YIELD","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-TREATMENT-003","TD-WATER-TREATMENT","TD-BASE-DRAWINGS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-TREATMENT-004","TD-WATER-TREATMENT","TD-BASE-MATERIALS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-STORAGE-001","TD-WATER-STORAGE","TD-WATER-TREATMENT","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-STORAGE-002","TD-WATER-STORAGE","TD-BASE-MATERIALS","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
"EDGE-TD-WATER-MONITORING-001","TD-WATER-MONITORING","TD-WATER-TREATMENT","REQUIRED","","","SL3","","Generated provisional semantics; human domain review required","PROVISIONAL_AUTO_REVIEW_REQUIRED","DENY","0.5-draft"
