"capability_id","domain_code","subject_level","service_outcome","beneficiary_scope","service_unit","demand_formula","minimum_service_level","dependency_capability_ids","external_dependency_class","maximum_safe_outage","regeneration_or_replacement_method","owner_role_id","successor_role_id","evidence_required","evidence_state","lifecycle_state","review_due","gate_decision","notes"
"CAP-FOOD-NUTRITION","FOOD","CELL|SITE","питательно достаточная и безопасная пища","ALL_PERSONS","PERSON_DAYS_BALANCED","PERSON_PROFILE_X_DAYS","energy protein fat micronutrients special diets","CAP-AGR-SOIL|CAP-AGR-SEED|CAP-WATER-SAFE","MARKET_LAB_AGRONOMY","PROFILE_SPECIFIC","rotate produce preserve trade and external supply","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-AGR-SOIL","AGR","SITE","поддерживаемая плодородная и безопасная почва","FOOD_SYSTEM","PRODUCTIVE_AREA_AND_TEST","CROP_PLAN_AND_LOCAL_CONDITIONS","baseline monitoring erosion contamination controls","CAP-WATER-SAFE|CAP-TOOLS","LAB_AGRONOMIST","ONE_SEASON_WITHOUT_PLAN","amend protect rotate and remediate professionally","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-AGR-SEED","AGR","SITE|INSTITUTION","жизнеспособный законный и разнообразный семенной фонд","FOOD_SYSTEM","ACCESSIONS_WITH_VIABILITY","CROP_PLAN_PLUS_RESEED_MARGIN","provenance germination regeneration safety duplicate","CAP-AGR-SOIL|CAP-ARCHIVE-RESTORE","GENEBANK_SUPPLIERS","BEFORE_PLANTING_WINDOW","test regenerate exchange and safety duplicate","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-ANIMAL-CARE","PET","CELL|SITE","welfare и непрерывный уход за животными","REGISTERED_ANIMALS","ANIMAL_DAYS_SERVICE","SPECIES_PROFILE","water feed medicine shelter transport vet","CAP-WATER-SAFE|CAP-FOOD-NUTRITION|CAP-MED-PRIMARY","VETERINARY_SYSTEM","SPECIES_SPECIFIC","rotate supplies alternate caregiver and veterinary network","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-SHELTER","SHEL","SITE","безопасное климатически пригодное жильё","ALL_PERSONS_AND_ANIMALS","SAFE_OCCUPANCY_CAPACITY","PROFILE_AND_CLIMATE","structure envelope exits temperature accessibility","CAP-FIRE|CAP-AIR|CAP-ENERGY-CRITICAL","ENGINEERS_REGULATORS","CONDITION_SPECIFIC","maintain repair relocate","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-FIRE","FIRE","SITE","раннее обнаружение выход и пожарная безопасность","ALL_OCCUPANTS","VERIFIED_ESCAPE_AND_DETECTION","BUILDING_PROFILE","alarms exits drills professional systems","CAP-SHELTER|CAP-COMMS","FIRE_SERVICE_INSPECTOR","ZERO_FOR_BLOCKED_EXIT","detect exit call service and repair","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-AIR","AIR","SITE","приемлемый воздух вентиляция и защита от дыма/плесени","ALL_OCCUPANTS","VERIFIED_AIR_CONTROL","BUILDING_AND_HEALTH_PROFILE","ventilation filtration moisture and exposure limits","CAP-ENERGY-CRITICAL|CAP-SHELTER","LAB_HVAC_PUBLIC_HEALTH","HEALTH_SPECIFIC","ventilate filter repair leave unsafe site","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-ENERGY-CRITICAL","ENE","SITE","энергия для измеренных критических нагрузок","CRITICAL_SYSTEMS","WH_PER_DAY_AND_PEAK_W","MEASURED_LOAD_PROFILE","load test failover isolation replacement budget","CAP-REPAIR|CAP-FIN-LIFECYCLE","GRID_FUEL_INSTALLER","LOAD_SPECIFIC","diverse sources storage manual alternatives replace components","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-COMMS","COM","CELL|INSTITUTION","PACE-связь и внешний check-in","ALL_CELLS","SUCCESSFUL_MESSAGE_PATHS","PRIMARY_ALT_CONTINGENCY_EMERGENCY","different failure domains and lawful operation","CAP-ENERGY-CRITICAL|CAP-DOC-IDENTITY","TELECOM_RADIO_AUTHORITY","EVENT_SPECIFIC","change devices operators licenses and channels","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-NAV","NAV","CELL|SITE","офлайн-навигация и проверенные маршруты","ALL_CELLS","CURRENT_MAP_ROUTE_SET","LOCATIONS_AND_SCENARIOS","digital plus print field checks and stop criteria","CAP-ARCHIVE-RESTORE|CAP-TRANSPORT","MAPPING_AUTHORITIES","ROUTE_VALIDITY_WINDOW","update data print and field verify","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-INFO-TRUST","INFO","CELL|INSTITUTION","достоверная информация и разделение current/history","ALL_USERS","RELEASED_SOURCE_COVERAGE","CRITICAL_DECISIONS","issuer version jurisdiction review and gates","CAP-ARCHIVE-RESTORE|CAP-EDUCATION","PRIMARY_AUTHORITIES","SOURCE_CLASS_SPECIFIC","review replace preserve provenance","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-ARCHIVE-RESTORE","INFO","INSTITUTION","восстановление критического корпуса без сети","DESIGNATED_COMMUNITY","RESTORE_SUCCESS_AND_RTO","L0_L1_COMPLETE_PLUS_SAMPLED_DEEP","fixity readers copies blank-device successor test","CAP-ENERGY-CRITICAL|CAP-SOFTWARE-READ","MEDIA_SOFTWARE_SUPPLIERS","ANNUAL_FOR_CRITICAL","replicate verify migrate and print core","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-SOFTWARE-READ","CYB","INSTITUTION","открытие форматов и восстановление вычислительной среды","ARCHIVE_USERS","FORMATS_WITH_TWO_READ_PATHS","ALL_PRESERVATION_FORMATS","installers licenses source build notes test files","CAP-ARCHIVE-RESTORE|CAP-ENERGY-CRITICAL","OPEN_SOURCE_AND_HARDWARE","BEFORE_FORMAT_OBSOLESCENCE","portable readers open formats emulation and migration","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-EDUCATION","EDU","CELL|INSTITUTION","базовое и профессиональное обучение через поколения","ALL_LEARNERS","LEARNING_OUTCOMES_ASSESSED","AGE_ROLE_LANGUAGE_PROFILE","curriculum materials teacher accessibility assessment","CAP-INFO-TRUST|CAP-SKILL-SUCCESSION","SCHOOLS_CERTIFIERS","LEARNING_STAGE_SPECIFIC","teach assess update and external recognition","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-SKILL-SUCCESSION","EDU","INSTITUTION","передача критических практических компетенций","CRITICAL_ROLES","DEMONSTRATED_SUCCESSOR_COVERAGE","ONE_PER_CRITICAL_ROLE_OR_EXTERNAL_BACKUP","theory supervised practice assessment currency","CAP-EDUCATION|CAP-GOV-SUCCESSION","CERTIFIERS_SPECIALISTS","BEFORE_HOLDER_LOSS","apprenticeship assessment and repeat practice","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-REPAIR","TOOL","SITE|INSTITUTION","безопасный ремонт или замена критических систем","ALL_CRITICAL_ASSETS","RECOVERY_WITHIN_RTO","ASSET_FAILURE_MODES","manual BOM tools parts competence isolation","CAP-TOOLS|CAP-SKILL-SUCCESSION|CAP-FIN-LIFECYCLE","MANUFACTURERS_WORKSHOPS","ASSET_SPECIFIC","standardize repair fabricate permitted parts or replace","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-TOOLS","TOOL","SITE","исправные инструменты и измерения","MAINTENANCE_ROLES","AVAILABLE_CALIBRATED_FUNCTIONS","TASK_AND_RISK_PROFILE","condition calibration consumables safe storage","CAP-REPAIR|CAP-ENERGY-CRITICAL","CALIBRATION_SUPPLIERS","TASK_SPECIFIC","maintain calibrate substitute and retire","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-TRANSPORT","TRANS","CELL|SITE","законное перемещение людей и критических ресурсов","ALL_PERSONS_AND_DEPENDENTS","PEOPLE_AND_LOAD_ROUTE_CAPACITY","PROFILE_ROUTE_AND_LOAD","vehicle walk cycle accessible alternatives","CAP-NAV|CAP-ENERGY-CRITICAL","ROADS_TRANSIT_REPAIR","EVENT_SPECIFIC","maintain diversify and relocate early","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-CLIMATE-ADAPT","ENV","SITE|INSTITUTION","адаптация к измеренным климатическим траекториям","SITE_AND_BENEFICIARIES","TRIGGERS_WITH_ACTION_PATHS","MULTIPLE_OFFICIAL_PATHWAYS","uncertainty lock-in reversibility retreat thresholds","CAP-WATER-SAFE|CAP-SHELTER|CAP-RELOCATION","CLIMATE_AUTHORITIES","REVIEW_AT_LEAST_5Y","monitor stage adaptations and relocate","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-COMMUNITY","COMM","INSTITUTION","внешняя сеть взаимопомощи специалистов и институтов","ALL_CELLS","VERIFIED_MUTUAL_PATHS","CRITICAL_EXTERNAL_DEPENDENCIES","consent contacts capabilities exercises","CAP-GOV-SAFEGUARD|CAP-COMMS","PUBLIC_SERVICES_NEIGHBORS","CONTEXT_SPECIFIC","maintain relationships diversify and reciprocate lawfully","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-RECOVERY","REC","CELL|INSTITUTION","восстановление после событий и обучение на ошибках","ALL_CAPABILITIES","RTO_AND_CORRECTIVE_ACTION_CLOSURE","IMPACT_AND_CRITICALITY","logs evidence AAR owners due dates","ALL_CRITICAL","INSURANCE_PUBLIC_SERVICES","EVENT_SPECIFIC","repair rebuild relocate and update baseline","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
"CAP-RELOCATION","REC","CELL|INSTITUTION","безопасный законный перенос людей знаний и функций","ALL_BENEFICIARIES","RELOCATION_PATH_READY","TRIGGER_AND_PROFILE","threshold authority route destination records","CAP-TRANSPORT|CAP-NAV|CAP-DOC-IDENTITY","HOST_JURISDICTION_HOUSING","TRIGGER_SPECIFIC","stage move preserve rights and rebaseline","TBD","TBD","SEE_16_AND_18","MISSING","PLANNED","","DENY","Архитектурная строка; не доказанная способность"
