"domain_id","group_code","group_title_ru","domain_title_ru","practical_outcome","minimum_demonstration","primary_measure","unit_or_standard","safety_class","safety_definition","prerequisite_domains","offline_package_target","practical_project_target","successor_proof","implementation_state","release_version"
"SCI-METH-11","METH","Научный метод и метрология","Разведочный анализ и визуальная проверка данных","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Разведочный анализ и визуальная проверка данных».","график, выбросы, пропуски и сохранённые сырые данные","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-10|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-12","METH","Научный метод и метрология","Статистический вывод, корреляция и причинность","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Статистический вывод, корреляция и причинность».","явное разделение ассоциации, механизма и причинного вывода","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-11|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-13","METH","Научный метод и метрология","Лабораторный журнал, версии и отрицательные результаты","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Лабораторный журнал, версии и отрицательные результаты».","неизменяемая запись метода, версии, ошибок и исходов","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-12|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-METH-14","METH","Научный метод и метрология","Этика, риск, согласие и право остановить опыт","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Этика, риск, согласие и право остановить опыт».","предварительный риск-анализ и подписанное стоп-правило","протокол/неопределённость","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-13|SCI-METH-01","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-01","MATH","Математика и количественное мышление","Арифметика, порядок действий и оценка порядка величины","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Арифметика, порядок действий и оценка порядка величины».","ручной и независимый расчёт с оценкой сверху/снизу","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-METH-01|SCI-METH-07|SCI-METH-14","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-02","MATH","Математика и количественное мышление","Дроби, отношения, проценты и пропорции","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Дроби, отношения, проценты и пропорции».","масштабирование рецепта или ресурса с проверкой суммы","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-01|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-03","MATH","Математика и количественное мышление","Единицы, приставки и перевод величин","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Единицы, приставки и перевод величин».","двухмаршрутный перевод единиц без потери размерности","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-02|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-04","MATH","Математика и количественное мышление","Алгебраические выражения и уравнения","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Алгебраические выражения и уравнения».","решение и обратная подстановка","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-03|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-05","MATH","Математика и количественное мышление","Функции, таблицы и графики","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Функции, таблицы и графики».","построение таблицы значений и интерпретация наклона","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-04|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-06","MATH","Математика и количественное мышление","Евклидова геометрия и площадь/объём","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Евклидова геометрия и площадь/объём».","измерение формы и проверка вычисленного объёма","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-05|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-07","MATH","Математика и количественное мышление","Тригонометрия и непрямые измерения","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Тригонометрия и непрямые измерения».","оценка высоты безопасного объекта по углу и базе","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-06|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-08","MATH","Математика и количественное мышление","Координаты, векторы и аналитическая геометрия","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Координаты, векторы и аналитическая геометрия».","переход между координатным описанием и вектором","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-07|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-09","MATH","Математика и количественное мышление","Линейная алгебра и системы уравнений","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Линейная алгебра и системы уравнений».","решение малой системы и проверка невязки","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-08|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-10","MATH","Математика и количественное мышление","Предел, производная и скорость изменения","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Предел, производная и скорость изменения».","численная оценка производной по измеренному ряду","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-09|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-11","MATH","Математика и количественное мышление","Интеграл, накопление и баланс","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Интеграл, накопление и баланс».","оценка накопленного расхода по временным отсчётам","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-10|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-12","MATH","Математика и количественное мышление","Дифференциальные уравнения и динамические модели","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Дифференциальные уравнения и динамические модели».","сравнение простой модели с наблюдаемой траекторией","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-11|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-13","MATH","Математика и количественное мышление","Логика, множества, графы и дискретные структуры","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Логика, множества, графы и дискретные структуры».","таблица истинности или граф зависимостей","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-12|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-14","MATH","Математика и количественное мышление","Вероятность и условная вероятность","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Вероятность и условная вероятность».","дерево событий и проверка суммы вероятностей","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-13|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-15","MATH","Математика и количественное мышление","Описательная статистика и устойчивые меры","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Описательная статистика и устойчивые меры».","среднее, медиана, разброс и квартильный размах","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-14|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-16","MATH","Математика и количественное мышление","Доверительные интервалы и проверка гипотез","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Доверительные интервалы и проверка гипотез».","интервал с явно указанными предпосылками","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-15|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-17","MATH","Математика и количественное мышление","Временные ряды, сезонность и контрольные карты","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Временные ряды, сезонность и контрольные карты».","график тренда, сезонности и контрольных границ","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-16|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-MATH-18","MATH","Математика и количественное мышление","Численные методы, оптимизация и исследование операций","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Численные методы, оптимизация и исследование операций».","решение, проверка ограничения и анализ чувствительности","расчёт/невязка","SI или явно названный стандарт","S0_OBSERVE_READ","Наблюдение, чтение, расчёт или работа с опубликованным набором данных; физического вмешательства нет.","SCI-MATH-17|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-PHYS-01","PHYS","Физика","Физические величины, модели и масштаб","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Физические величины, модели и масштаб».","сравнение модели с измерением и указание области применимости","SI-измерение","SI или явно названный стандарт","S1_LOW_RISK_HOUSEHOLD","Низкорисковая бытовая практика только с заранее названными обычными материалами; для электричества — изолированный защищённый источник с заранее ограниченными током, энергией и температурой; СИЗ и стоп-условие заданы до начала.","SCI-METH-01|SCI-METH-07|SCI-METH-14","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-PHYS-02","PHYS","Физика","Кинематика: положение, скорость и ускорение","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Кинематика: положение, скорость и ускорение».","видеоряд или секундомерный ряд движения безопасного объекта","SI-измерение","SI или явно названный стандарт","S1_LOW_RISK_HOUSEHOLD","Низкорисковая бытовая практика только с заранее названными обычными материалами; для электричества — изолированный защищённый источник с заранее ограниченными током, энергией и температурой; СИЗ и стоп-условие заданы до начала.","SCI-PHYS-01|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-PHYS-03","PHYS","Физика","Силы, масса и законы Ньютона","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Силы, масса и законы Ньютона».","диаграмма сил и измерение малых сил безопасным динамометром","SI-измерение","SI или явно названный стандарт","S1_LOW_RISK_HOUSEHOLD","Низкорисковая бытовая практика только с заранее названными обычными материалами; для электричества — изолированный защищённый источник с заранее ограниченными током, энергией и температурой; СИЗ и стоп-условие заданы до начала.","SCI-PHYS-02|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-PHYS-04","PHYS","Физика","Статика, равновесие и центр масс","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Статика, равновесие и центр масс».","безопасная настольная модель равновесия","SI-измерение","SI или явно названный стандарт","S1_LOW_RISK_HOUSEHOLD","Низкорисковая бытовая практика только с заранее названными обычными материалами; для электричества — изолированный защищённый источник с заранее ограниченными током, энергией и температурой; СИЗ и стоп-условие заданы до начала.","SCI-PHYS-03|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-PHYS-05","PHYS","Физика","Работа, энергия, мощность и КПД","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Работа, энергия, мощность и КПД».","энергетический баланс маломощной системы","SI-измерение","SI или явно названный стандарт","S1_LOW_RISK_HOUSEHOLD","Низкорисковая бытовая практика только с заранее названными обычными материалами; для электричества — изолированный защищённый источник с заранее ограниченными током, энергией и температурой; СИЗ и стоп-условие заданы до начала.","SCI-PHYS-04|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
"SCI-PHYS-06","PHYS","Физика","Импульс и столкновения","Объяснить базовую модель, выполнить допустимую для класса риска проверку и документировать пределы по теме «Импульс и столкновения».","видеоанализ малых тел без людей и хрупких предметов","SI-измерение","SI или явно названный стандарт","S1_LOW_RISK_HOUSEHOLD","Низкорисковая бытовая практика только с заранее названными обычными материалами; для электричества — изолированный защищённый источник с заранее ограниченными током, энергией и температурой; СИЗ и стоп-условие заданы до начала.","SCI-PHYS-05|SCI-METH-13","1","1","Новый участник находит источник офлайн, объясняет границы, повторяет допустимую процедуру и получает результат в заранее заданном допуске.","FRAMEWORK_ONLY_NOT_TRAINED","0.4"
