"crosswalk_id","legacy_capability_id","canonical_technology_ids","century_capability_ids","moc_ids","science_domain_ids","mapping_status","notes","release_version"
"XW-PET","PET","TD-ANIMALS|TD-PEOPLE-ANIMALS","CAP-ANIMAL-CARE","MOC-FOOD-AGRI","SCI-HEALTH-15|SCI-AGRI-13","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-PPE","PPE","TD-HEALTH-SCENE-PPE|TD-WORKSHOP-PPE","CAP-TOOLS","MOC-SAFETY","SCI-HEALTH-05","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-PRES","PRES","TD-FOOD-PRESERVATION|TD-HARVEST-STORAGE","CAP-FOOD-NUTRITION","MOC-FOOD-AGRI","SCI-AGRI-09","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-REC","REC","TD-GOV-RECOVERY|TD-GOV-RELOCATION","CAP-RECOVERY|CAP-RELOCATION","MOC-GOVERNANCE","SCI-OPS-10","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-SAFE","SAFE","TD-BASE-SAFETY|TD-SECURITY","CAP-GOV-SAFEGUARD","MOC-SAFETY","SCI-METH-14","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-SAN","SAN","TD-SANITATION","CAP-SANITATION","MOC-WATER","SCI-CIVIL-07","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-SHEL","SHEL","TD-SHELTER","CAP-SHELTER","MOC-SHELTER","SCI-CIVIL-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-TOOL","TOOL","TD-WORKSHOP|TD-BASE-METROLOGY","CAP-TOOLS|CAP-REPAIR","MOC-WORKSHOP","SCI-MECH-01","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-TRANS","TRANS","TD-TRANSPORT","CAP-TRANSPORT","MOC-MAPS-COMMS","SCI-MECH-12","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
"XW-WAT","WAT","TD-WATER","CAP-WATER-SAFE","MOC-WATER","SCI-CIVIL-07|SCI-AGRI-03","PROVISIONAL_HUMAN_REVIEW_REQUIRED","Links scenario vocabulary to canonical capability layers; does not prove execution","0.5-draft"
